"Id","SN","Type","TypeName","LangId","PicFile","PngFile","Comment","PngExists"
"1","0","1","char","0","tsw00001_00.pic","SRC-TSW00001-SN00__char__543-l.png","543-l","True"
"1","1","1","char","0","tsw00001_01.pic","SRC-TSW00001-SN01__char.png","","True"
"1","2","1","char","0","tsw00001_02.pic","SRC-TSW00001-SN02__char.png","","True"
"1","3","1","char","0","tsw00001_03.pic","SRC-TSW00001-SN03__char.png","","True"
"2","0","1","char","0","tsw00002_00.pic","SRC-TSW00002-SN00__char__down.png","down","True"
"2","1","1","char","0","tsw00002_01.pic","SRC-TSW00002-SN01__char.png","","True"
"2","2","1","char","0","tsw00002_02.pic","SRC-TSW00002-SN02__char.png","","True"
"2","3","1","char","0","tsw00002_03.pic","SRC-TSW00002-SN03__char.png","","True"
"3","0","1","char","0","tsw00003_00.pic","SRC-TSW00003-SN00__char__543-r.png","543-r","True"
"3","1","1","char","0","tsw00003_01.pic","SRC-TSW00003-SN01__char.png","","True"
"3","2","1","char","0","tsw00003_02.pic","SRC-TSW00003-SN02__char.png","","True"
"3","3","1","char","0","tsw00003_03.pic","SRC-TSW00003-SN03__char.png","","True"
"4","0","1","char","0","tsw00004_00.pic","SRC-TSW00004-SN00__char__fire_24_m.png","fire_24_m","True"
"5","0","1","char","0","tsw00005_00.pic","SRC-TSW00005-SN00__char__fire_24.png","fire_24","True"
"6","0","1","char","0","tsw00006_00.pic","SRC-TSW00006-SN00__char__fire_32_m.png","fire_32_m","True"
"7","0","1","char","0","tsw00007_00.pic","SRC-TSW00007-SN00__char__fire_32.png","fire_32","True"
"8","0","1","char","0","tsw00008_00.pic","SRC-TSW00008-SN00__char__fire-n.png","fire-n","True"
"9","0","1","char","0","tsw00009_00.pic","SRC-TSW00009-SN00__char__lolo.png","lolo","True"
"10","0","1","char","0","tsw00010_00.pic","SRC-TSW00010-SN00__char__lolo2.png","lolo2","True"
"11","0","1","char","0","tsw00011_00.pic","SRC-TSW00011-SN00__char__woman.png","woman","True"
"12","0","1","char","0","tsw00012_00.pic","SRC-TSW00012-SN00__char__woman2.png","woman2","True"
"13","0","1","char","0","tsw00013_00.pic","SRC-TSW00013-SN00__char__woman3.png","woman3","True"
"14","0","1","char","0","tsw00014_00.pic","SRC-TSW00014-SN00__char__115-1.png","115-1","True"
"14","1","1","char","0","tsw00014_01.pic","SRC-TSW00014-SN01__char.png","","True"
"14","2","1","char","0","tsw00014_02.pic","SRC-TSW00014-SN02__char.png","","True"
"14","3","1","char","0","tsw00014_03.pic","SRC-TSW00014-SN03__char.png","","True"
"14","4","1","char","0","tsw00014_04.pic","SRC-TSW00014-SN04__char.png","","True"
"14","5","1","char","0","tsw00014_05.pic","SRC-TSW00014-SN05__char.png","","True"
"14","6","1","char","0","tsw00014_06.pic","SRC-TSW00014-SN06__char.png","","True"
"14","7","1","char","0","tsw00014_07.pic","SRC-TSW00014-SN07__char.png","","True"
"15","0","1","char","0","tsw00015_00.pic","SRC-TSW00015-SN00__char__smoke-24.png","smoke-24","True"
"15","1","1","char","0","tsw00015_01.pic","SRC-TSW00015-SN01__char.png","","True"
"15","2","1","char","0","tsw00015_02.pic","SRC-TSW00015-SN02__char.png","","True"
"15","3","1","char","0","tsw00015_03.pic","SRC-TSW00015-SN03__char.png","","True"
"16","0","1","char","0","tsw00016_00.pic","SRC-TSW00016-SN00__char__smoke-32.png","smoke-32","True"
"16","1","1","char","0","tsw00016_01.pic","SRC-TSW00016-SN01__char.png","","True"
"16","2","1","char","0","tsw00016_02.pic","SRC-TSW00016-SN02__char.png","","True"
"16","3","1","char","0","tsw00016_03.pic","SRC-TSW00016-SN03__char.png","","True"
"17","0","1","char","0","tsw00017_00.pic","SRC-TSW00017-SN00__char__big_pic.png","big_pic","True"
