"effect_id","attack_point","attribute_id","wide_range","continuous_turns","affixation_effect","relieve_effect","add_buff","resist_attribute","snatch_hp","snatch_mp","snatch_sp","escape","summon_id","summon_count"
"0","0","9","","0","0","0","0","0","","","","","0","0"
"1","0","9","","0","0","0","0","0","","","","","0","0"
"2","0","9","","0","0","0","0","0","","","","","0","0"
"3","0","9","","0","0","0","0","0","","","","","0","0"
"4","0","9","","0","0","0","0","0","","","","","0","0"
"5","0","9","","0","0","0","0","0","","","","","0","0"
"6","0","9","","0","0","0","0","0","","","","","0","0"
"7","0","9","","0","0","0","0","0","","","","","0","0"
"8","0","9","","0","0","0","0","0","","","","","0","0"
"9","23","9","","0","0","0","0","0","","","","","0","0"
"10","7","5","","3","4096","0","0","0","","","","","0","0"
"11","30","1","","0","0","0","0","0","","","","","0","0"
"12","0","1","","8","1","0","0","0","","","","","0","0"
"13","48","1","","0","0","0","0","0","","","","","0","0"
"14","0","0","","0","0","0","0","0","","","","","0","0"
"15","0","0","","0","0","0","0","0","","","","","0","0"
"16","0","10","","0","0","4096","0","0","","","","","0","0"
"17","40","8","","0","0","0","0","0","","","","","0","0"
"18","25","9","","0","0","0","0","0","","","","","0","0"
"19","65","7","","0","0","0","0","0","","","","","0","0"
"20","0","0","","0","0","32768","0","0","","","","","0","0"
"21","0","0","Y","0","0","0","0","0","","","","","0","0"
"22","0","11","","0","0","5119","0","0","","","","","0","0"
"23","0","7","","3","1","0","0","0","","","","","0","0"
"24","18","9","","0","0","0","0","0","","","","","0","0"
"25","18","9","","0","0","0","0","0","","","","","0","0"
"26","2","0","","3","64","0","0","0","","","","","0","0"
"27","0","9","","0","0","0","0","0","","","","","0","0"
"28","30","8","","0","0","0","0","0","","","","","0","0"
"29","35","1","","0","0","0","0","0","","","","","0","0"
"30","13","1","","0","0","0","0","0","","","","","0","0"
"31","60","9","","0","0","0","0","0","","","","","0","0"
"32","50","3","","0","0","0","0","0","","","","","0","0"
"33","50","9","","0","0","0","0","0","","","","","0","0"
"34","0","9","","0","0","0","0","0","","","","","0","0"
"35","0","9","","0","0","0","0","0","","","","","0","0"
"36","0","9","","0","0","0","0","0","","","","","0","0"
"37","0","9","","0","0","0","0","0","","","","","0","0"
"38","80","1","","0","0","0","0","0","","","","","0","0"
"39","0","1","","5","128","0","0","0","","","","","0","0"
"40","0","9","","0","0","0","0","0","","","","","0","0"
"41","0","9","","0","0","0","0","0","","","","","0","0"
"42","95","9","","0","0","0","0","0","","","","","0","0"
"43","0","7","","1000","4","0","0","0","","","","","0","0"
"44","0","7","","8","512","0","0","0","","","","","0","0"
"45","110","1","","0","0","0","0","0","","","","","0","0"
"46","40","2","Y","0","0","0","0","0","","","","","0","0"
"47","0","11","","0","0","4","0","0","","","","","0","0"
"48","0","11","","0","0","8","0","0","","","","","0","0"
"49","0","7","","3","1","0","0","0","","","","","0","0"
"50","0","7","","3","2","0","0","0","","","","","0","0"
"51","0","7","","1000","4","0","0","0","","","","","0","0"
"52","0","7","","3","8","0","0","0","","","","","0","0"
"53","0","7","","3","16","0","0","0","","","","","0","0"
"54","0","7","","3","32","0","0","0","","","","","0","0"
"55","0","7","","3","64","0","0","0","","","","","0","0"
"56","0","7","","3","128","0","0","0","","","","","0","0"
"57","0","7","","3","512","0","0","0","","","","","0","0"
"58","0","7","","3","256","0","0","0","","","","","0","0"
"59","0","7","","5","64","0","0","0","","","","","0","0"
"60","0","2","","5","8","0","0","0","","","","","0","0"
"61","0","1","","0","0","0","0","0","","","","","0","0"
"62","150","1","","0","0","0","0","0","","","","","0","0"
"63","80","1","Y","0","0","0","0","0","","","","","0","0"
"64","8","1","Y","0","0","0","0","0","","","","","0","0"
"65","10","8","","0","0","0","0","0","","","","","0","0"
"66","0","11","","0","0","64","0","0","","","","","0","0"
"67","0","11","","0","0","128","0","0","","","","","0","0"
"68","23","1","Y","0","0","0","0","0","","","","","0","0"
"69","0","9","","0","0","0","0","0","","","","","0","0"
"70","0","1","","5","0","0","2147483648.0","0","","","","","0","0"
"71","50","9","","0","0","0","0","0","","","","","0","0"
"72","40","9","","0","0","0","0","0","","","","","0","0"
"73","80","7","Y","0","0","0","0","0","","","","","0","0"
"74","0","7","","0","0","0","0","0","","","","","0","0"
"75","7","9","","0","0","0","0","0","","","","","0","0"
"76","0","9","","0","0","0","0","0","","","","","0","0"
"77","60","2","Y","0","0","0","0","0","","","","","0","0"
"78","58","9","","0","0","0","0","0","Y","","","","0","0"
"79","70","9","","0","0","0","0","0","","","","","0","0"
"80","80","9","","0","0","0","0","0","Y","","","","0","0"
"81","0","0","","8","0","0","268435456","0","","","","","0","0"
"82","25","9","","0","0","0","0","0","","","","","0","0"
"83","50","9","","0","0","0","0","0","","","","","0","0"
"84","100","9","","0","0","0","0","0","","","","","0","0"
"85","0","3","","0","0","0","0","0","","","","","0","0"
"86","500","0","","0","0","0","0","0","","","","","0","0"
"87","7","1","","0","0","0","0","0","","","","","0","0"
"88","999","7","","0","0","0","0","0","","","","","0","0"
"89","100","1","","0","0","0","0","0","","","","","0","0"
"90","0","9","","0","0","0","0","0","","","","","0","0"
"91","60","2","Y","0","0","0","0","0","","","","","0","0"
"92","70","7","","0","0","0","0","0","","","","","0","0"
"93","150","6","","0","0","0","0","0","","","","","0","0"
"94","160","9","","0","0","0","0","0","","","","","0","0"
"95","0","0","","0","0","0","0","0","","","","","0","0"
"96","0","11","","0","0","4200","0","0","","","","","0","0"
"97","10","2","","0","0","0","0","0","","","","","0","0"
"98","0","9","","0","0","0","0","0","","","","","0","0"
"99","135","2","","0","0","0","0","0","","","Y","","0","0"
"100","0","2","","0","0","0","0","0","","","","","0","0"
"101","80","2","","0","0","0","0","0","","","","","0","0"
"102","125","2","","0","0","0","0","0","","","","","0","0"
"103","0","2","","3","1","0","0","0","","","","","0","0"
"104","0","11","","0","0","3","0","0","","","","","0","0"
"105","80","1","Y","0","0","0","0","0","","","","","0","0"
"106","130","7","Y","0","0","0","0","0","","","","","0","0"
"107","0","9","","0","0","0","0","0","","","","","0","0"
"108","160","2","","0","0","0","0","0","","","","","0","0"
"109","75","2","Y","0","0","0","0","0","","","","","0","0"
"110","100","2","","0","0","0","0","0","","","","","0","0"
"111","0","9","","0","0","0","0","0","","","","","0","0"
"112","90","2","Y","0","0","0","0","0","","","","","0","0"
"113","180","9","","0","0","0","0","0","","","","","0","0"
"114","160","9","","0","0","0","0","0","","","","","0","0"
"115","5","7","","0","0","0","0","0","","","","","0","0"
"116","0","9","","0","0","0","0","0","","","","","0","0"
"117","0","5","","1","1","0","0","0","","","","","0","0"
"118","70","2","","0","0","0","0","0","","","","","0","0"
"119","0","9","","0","0","0","0","0","","","","","0","0"
"120","0","6","","0","0","0","0","0","","","","","0","0"
"121","120","6","","0","0","0","0","0","","","","","0","0"
"122","0","9","","0","0","0","0","0","","","","","0","0"
"123","150","8","","0","0","0","0","0","","","","","0","0"
"124","80","3","Y","0","0","0","0","0","","","","","0","0"
"125","150","5","","2","1","0","0","0","","","","","0","0"
"126","0","2","","8","1","0","0","0","","","","","0","0"
"127","35","9","","0","0","0","0","0","","","","","0","0"
"128","0","9","","0","0","0","0","0","","","","","0","0"
"129","0","0","","0","0","0","0","0","","","","","0","0"
"130","50","5","","3","4096","0","0","0","","","","","0","0"
"131","0","9","","0","0","0","0","0","","","","","0","0"
"132","0","9","","0","0","0","0","0","","","","","0","0"
"133","0","9","","0","0","0","0","0","","","","","0","0"
"134","0","9","","0","0","0","0","0","","","","","0","0"
"135","0","9","","0","0","0","0","0","","","","","0","0"
"136","0","9","","0","0","0","0","0","","","","","0","0"
"137","0","9","","0","0","0","0","0","","","","","0","0"
"138","0","9","","0","0","0","0","0","","","","","0","0"
"139","0","0","Y","0","0","0","0","0","","","","","0","0"
"140","0","0","","0","0","32768","0","0","","","","","0","0"
"141","0","1","","0","0","0","0","0","","","","","0","0"
"142","150","2","","0","0","0","0","0","","","","","0","0"
"143","0","3","","5","0","0","1073741824","0","","","","","0","0"
"144","200","3","","0","0","0","0","0","","","","","0","0"
"145","0","3","","0","0","32768","0","0","","","","","0","0"
"146","160","3","Y","0","0","0","0","0","","","","","0","0"
"147","0","8","","5","1","0","0","0","","","","","0","0"
"148","0","6","","5","16","0","0","0","","","","","0","0"
"149","100","6","","0","0","0","0","0","","","","","0","0"
"150","0","4","","0","0","0","0","0","","","","","0","0"
"151","300","9","","0","0","0","0","0","","","","","0","0"
"152","0","7","","0","0","0","0","0","","","","","163","2"
"153","0","9","","0","0","0","0","0","","","","","0","0"
"154","200","9","","0","0","0","0","0","","","","","0","0"
"155","0","9","","0","0","0","0","0","","","","","0","0"
"156","170","1","","0","0","0","0","0","","","","","0","0"
"157","20","7","","0","0","0","0","0","","","","","0","0"
"158","15","7","","0","0","0","0","0","","","","","0","0"
"159","0","9","","0","0","0","0","0","","","","","0","0"
"160","400","9","","0","0","0","0","0","","","","","0","0"
"161","300","7","Y","0","0","0","0","0","","","","","0","0"
"162","30","4","","0","0","0","0","0","","","","","0","0"
