"item_id","name","level","area","types","roles","consumption","consumes_mp","consumes_sp","consumes_throwable","consumes_item","use_place","is_unique","discard","add_hp","add_mp","add_sp","add_atk","add_def","add_spd","add_dodge","add_str","add_stamina","add_wis","add_friend","attack_effect_id","attack_point","attribute_id","wide_range","continuous_turns","affixation_effect","relieve_effect","add_buff","resist_attribute","snatch_hp","snatch_mp","snatch_sp","escape","summon_id","summon_count","info_text","help_text"
"27","軒轅劍仙","0","2","IT_05|IT_08","1|2|3|4","400","","Y","","","1","","","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","","","","","0","0","","是中國傳說時代時，諸天善神幫助軒轅皇帝所鍛造出來的神劍，其使命是維持中國道統與智慧，有深不可測之力。到了唐朝，吸收的天地精華，足夠讓他化身成仙。"
"35","軒轅劍僮","0","2","IT_05|IT_06|IT_08","1|2|3|4","600","","Y","","","1","","","0","0","0","0","0","0","0","0","0","0","0","395","8000","6","","0","0","0","0","0","","","","","0","0","可召喚軒轅劍童幫助我方，但需消耗體力600點","由軒轅劍鞘幻化而成的仙童，好奇心很重，完全是個小孩子的心，跟軒轅劍仙成一老一少的對比。"
"47","蟹精魔機","50","2","IT_12","1|2|3|4","350","","Y","","","1","","","0","0","0","15","10","-6","0","0","0","0","0","433","0","8","","0","0","0","0","0","","","","","0","0","消費：350點體力","蒐集殘缺的機關設計圖後，請古玩店製作出的強力機關。"
"49","羯忍幻機","45","2","IT_12","1|2|3|4","300","","Y","","","1","","","0","0","0","10","5","3","0","0","0","0","0","122","0","9","","0","0","0","0","0","","","","","0","0","消費：300點體力","蒐集殘缺的機關設計圖後，請古玩店製作出的強力機關。"
"59","牛魔王","80","2","IT_06","1|2|3|4","500","","Y","","","1","","","0","0","0","20","20","10","0","0","0","0","0","141","0","1","","0","0","0","0","0","","","","","0","0","","出自西遊記，具有強大力量的魔王，友情客串演出。"
"63","姆斯比爾","50","1","IT_05|IT_06|IT_08","1|2|3|4","100","","Y","","","1","","","0","0","0","0","0","0","0","0","0","0","0","245","300","1","Y","0","0","0","0","0","","","","","0","0","產生 火系 全體攻擊性魔法 消費：100點體力","傳說在北歐一種住在火焰之地的巨人，周身包圍著火焰，非常暴躁，也從不跟人類說話，想燒盡一切眼前的事物。"
"64","藍魔神","49","1","IT_05|IT_06|IT_08","1|2|3|4","120","","Y","","","1","","","0","0","0","0","0","0","0","0","0","0","0","246","100","2","Y","0","0","0","0","0","","","","","0","0","產生 水系 全體攻擊性魔法 消費：120點體力","藍人的領導者，是一女性外觀的藍人，是所有藍人﹝男性外觀﹞的首領，她住在海中冰山，受撒旦指使去移動島尋找主角。"
"70","蜃樓王","50","2","IT_05|IT_06|IT_08","1|2|3|4","150","","Y","","","1","","","0","0","0","0","0","0","0","0","0","0","0","276","500","8","","0","0","0","0","0","","","","","0","0","產生 雷電系 單人攻擊性魔法 消費：150點體力","在沙漠出現的幻象之王，外形變化多端。會把一般的旅人拉入魔天（幻象的世界）。"
"101","黏怪","12","1","IT_12","1|2|3|4","8","","Y","","","1","","","5","0","0","0","0","0","0","1","0","0","0","1","0","9","","0","0","0","0","0","","","","","0","0","消費：8點體力","由動物靈所控制的單細胞生命體，會攻擊其他生物，用分泌出來的強酸來吞食。"
"118","吸血殭屍","18","1","IT_12","1|2|3|4","16","","Y","","","1","","","0","0","0","0","0","0","0","0","2","-3","0","4","0","9","","0","0","0","0","0","","","","","0","0","消費：16點體力","被吸血鬼吸血致死的人。如果沒被黑暗之主選上的話，只能作一沒有意識的害人軀殼。"
