"item_id","name","race_id","level","act","battle_data_complete","existing_living_card","story_or_special_flag","not_in_book","discard","race_catch","native_capture_at_player_level_cap","native_capture_reason","hp","atk","def","skills_present","special_effects_present","capture_card_status","note"
"2","妮可","10","3","2","Y","","","Y","","","否","原版拒絕非 IT_12 活物卡。","50","57","38","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"3","薇達","23","32","3","Y","","Y","Y","","","否","原版拒絕 IT_06 劇情類目標。","800","250","92","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"4","麥爾斯","23","12","4","Y","","Y","Y","","","否","原版拒絕 IT_06 劇情類目標。","160","42","25","","72|71","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"6","姆斯比爾","1","40","6","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","1800","115","65","1666|1667","62","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"7","康那里士","23","35","7","Y","","Y","","","","否","原版拒絕 IT_06 劇情類目標。","1200","94","54","1668|1552","88","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"10","慧彥","23","38","10","Y","","Y","Y","","","否","原版拒絕 IT_06 劇情類目標。","500","230","130","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"12","恐懼之王","1","50","12","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","5000","163","73","1680|1680|1680","160","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"13","藍魔神","1","32","13","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","2000","120","60","1672","108","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"16","蜃樓王","8","50","16","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","5000","300","68","1685|1686|1686","205|205","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"18","鬼猴","8","35","18","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","3500","154","64","","151|151","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"28","撒旦","1","73","28","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","30000","600","166","1711|1712|1713","416|417","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"32","雨丹子","23","60","32","Y","","Y","","","","否","原版拒絕 IT_06 劇情類目標。","15000","580","116","1696|1696","356|356","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"33","張客","23","56","33","Y","","Y","Y","","","否","原版拒絕 IT_06 劇情類目標。","10000","550","130","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"38","鎮邪","14","58","38","Y","","Y","Y","","Y","否","原版拒絕 IT_06 劇情類目標。","10000","600","100","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"39","王思月","23","57","39","Y","","Y","Y","","","否","原版拒絕 IT_06 劇情類目標。","8000","560","122","","355|355","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"40","悟緣","23","45","40","Y","","Y","Y","","","否","原版拒絕 IT_06 劇情類目標。","500","350","250","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"46","蚩尤","1","80","46","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","30000","850","200","1712|1716|1717","438|437","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"47","蟹精魔機","26","50","47","Y","Y","","","","","否","原版種族沒有 catch=true。","2500","530","180","","434|434","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"48","機關三魔獸","13","38","48","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","6000","240","90","1681|1681|1681","180|180","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"49","羯忍幻機","26","45","49","Y","Y","","","","","否","原版種族沒有 catch=true。","1800","500","162","","397|398","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"50","影忍妖機","26","35","50","Y","","Y","","","","否","原版拒絕 IT_06 劇情類目標。","1000","50","40","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"51","羯羊妖機","13","52","51","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","15000","500","148","1693|1693","339","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"52","夜叉悟緣","8","50","52","Y","","Y","Y","","Y","否","原版拒絕 IT_06 劇情類目標。","8000","480","103","","336|337","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"53","雨丹子五鬼","7","55","53","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","12000","510","148","1696|1696|1696","348","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
