"item_id","name","race_id","level","act","existing_living_card","story_or_special_flag","not_in_book","is_unique","discard","hp","atk","def","spd","wis","dodge_rate","escape_rate","gain_exp","gain_gold","basic_attack_effect_id","skill_ids","skill_counts","skill_rate","special_effect_ids","special_effect_counts","special_effect_rate","critical_skill_ids","critical_skill_counts","drop_item_ids","drop_item_rates","attr_fire","attr_ice","attr_wind","attr_earth","attr_poison","attr_light","attr_dark","attr_thunder","attr_physical","help_text"
"2","妮可","10","3","2","","","Y","","","50","57","38","30","45","5","1","0","0","7","","","0","","","0","","","","","0","0","0","0","0","2","-2","0","0",""
"3","薇達","23","32","3","","Y","Y","","","800","250","92","46","100","4","1","300","100","116","","","0","","","0","","","","","0","0","0","0","0","0","0","0","0",""
"4","麥爾斯","23","12","4","","Y","Y","","","160","42","25","32","35","3","1","18","20","1","","","0","72|71","3|2","4","","","","","0","0","0","0","0","0","0","0","0",""
"6","姆斯比爾","1","40","6","","Y","","","","1800","115","65","45","90","3","1","350","300","61","1666|1667","5|2","4","62","4","5","","","","","-16","6","0","0","0","0","0","0","0","傳說在北歐一種住在火焰之地的巨人，周身包圍著火焰，非常暴躁，也從不跟人類說話，想燒盡一切眼前的事物。"
"7","康那里士","23","35","7","","Y","","","","1200","94","54","48","100","3","1","420","250","74","1668|1552","6|4","4","88","1","0","1574","2","","","0","0","0","0","-4","8","-6","2","0","梅羅文加護教騎士的指導教士。"
"10","慧彥","23","38","10","","Y","Y","","","500","230","130","51","180","0","1","0","0","188","","","0","","","0","","","","","0","0","0","0","0","-10","0","0","-2","中國少林寺僧人，中國武術高超。外型瘦小平凡，穿著破爛唐裝與披風，微留白髮，笑容可拘。"
"12","恐懼之王","1","50","12","","Y","","","","5000","163","73","54","120","4","0","580","1200","159","1680|1680|1680","2|2|1","4","160","5","5","","","","","2","0","0","0","0","6","-16","0","0","撒旦的手下之一，外形是人骨貼附一些爛肉。化身成人形就是康那里士教士。因為害怕死亡的緣故，他早已對自己施展僵屍之法，讓自己的屍首殘骸仍然能活動。"
"13","藍魔神","1","32","13","","Y","","","","2000","120","60","46","120","4","1","400","500","3","1672","6","5","108","5","4","","","","","4","-10","0","0","0","0","0","0","0","藍人的領導者，是一女性外觀的藍人，是所有藍人﹝男性外觀﹞的首領，她住在海中冰山，受撒旦指使去移動島尋找主角。"
"16","蜃樓王","8","50","16","","Y","","","","5000","300","68","56","130","3","0","800","200","204","1685|1686|1686","6|3|2","4","205|205","4|3","5","1578|1578","1|1","","","-2","-2","-2","-2","-10","4","-4","-2","0","在沙漠出現的幻象之王，外形變化多端。會把一般的旅人拉入魔天（幻象的世界）。"
"18","鬼猴","8","35","18","","Y","","","","3500","154","64","50","120","3","1","600","1000","150","","","0","151|151","4|4","5","","","638","20","0","0","4","-10","-10","2","-2","0","-8","相當殘忍陰險的妖怪，以看人受苦為樂，撒旦把他封在石像中以操縱他們。"
"28","撒旦","1","73","28","","Y","","","","30000","600","166","140","200","4","0","5000","5000","463","1711|1712|1713","6|6|6","5","416|417","8|10","6","1714","1","","","-4","-2","-4","-4","-10","0","-20","-4","0","地獄界其中之一的集團首領，自古以來就叛逆天上界，到處在地上界暗中擾亂人類的安寧，酷愛戰爭與流血。平常不輕易現身，絕大部分都是暗中指揮，這是避免被執法神逮住。"
"32","雨丹子","23","60","32","","Y","","","","15000","580","116","64","180","4","1","3000","5000","346","1696|1696","8|6","5","356|356","3|2","4","1697|1697","2|1","712","20","-2","0","0","0","-10","4","-4","0","0","據說他不用傳統煉丹來鍛鍊長生不老，而用各種毒物、毒蟲來煉，把自己的肉身煉成了半妖狀態，內臟全是毒蟲，流黑血，臉色泛青，紅瞳孔，週身隨時圍繞蒼蠅。"
"33","張客","23","56","33","","Y","Y","","","10000","550","130","60","200","4","1","1500","1000","379","","","5","","","4","","","","","0","0","0","0","-2","0","0","0","0",""
"38","鎮邪","14","58","38","","Y","Y","","","10000","600","100","80","180","4","1","1500","1000","1","","","5","","","4","","","","","2","0","0","0","2","-4","-4","0","0","張客養的獅子，毛髮有特別梳理過成捲毛，喜歡玩毬。"
"39","王思月","23","57","39","","Y","Y","","","8000","560","122","62","130","4","1","500","1200","354","","","0","355|355","6|6","5","","","","","0","0","0","0","0","2","-6","-4","0",""
"40","悟緣","23","45","40","","Y","Y","","","500","350","250","58","33","0","0","0","0","307","","","0","","","0","","","","","0","0","0","0","0","0","0","0","0",""
"46","蚩尤","1","80","46","","Y","","","","30000","850","200","90","180","5","0","5000","5000","122","1712|1716|1717","8|15|10","6","438|437","12|10","5","1714|1714","2|1","994|632","20|2","0","0","0","0","-10","6","-12","-4","0","上古的魔神，與黃帝大戰後被軒轅劍封印在一個隱密的地點，至今尚無人知曉；不過正常的人，是不會想去釋放他的。"
"47","蟹精魔機","26","50","47","Y","","","","","2500","530","180","55","120","4","1","200","130","433","","","0","434|434","5|5","5","","","","","-2","0","0","0","-10","0","0","-4","0","蒐集殘缺的機關設計圖後，請古玩店製作出的強力機關。"
"48","機關三魔獸","13","38","48","","Y","","","","6000","240","90","48","10","4","0","730","800","","1681|1681|1681","3|2|2","4","180|180","3|3","5","","","","","4","0","0","0","-10","0","0","2","0","黃雷所製作的大型機關獸之一；外觀是由三頭魔獸─海鷹、琊虎、翟狼的型態而組成的。全身分為兩大節，常見的攻擊模式是用尾巴擊打敵人；至於其它的攻擊方式看過的人都沒有活下來的。"
"49","羯忍幻機","26","45","49","Y","","","","","1800","500","162","58","100","3","2","120","80","122","","","0","397|398","5|8","5","","","","","2","0","0","0","0","2","0","-4","0","蒐集殘缺的機關設計圖後，請古玩店製作出的強力機關。"
"50","影忍妖機","26","35","50","","Y","","","","1000","50","40","30","22","3","1","160","500","181","","","0","","","0","","","","","2","2","0","0","-10","0","0","4","0","利用妖魔與機關人合一製造的特殊機種，擁有無人可匹敵的速度，搭配特製的鐵金刀能在一瞬間把認定的目標摧毀。"
"51","羯羊妖機","13","52","51","","Y","","","","15000","500","148","65","50","4","0","1200","2000","131","1693|1693","7|4","6","339","10","5","","","780|689","20|3","-4","2","-2","-6","-10","4","-2","4","0","黃雷的得意作品之二，經過不斷的研究與改良，再加上康那里士的黑暗力量，而產生的強大半妖半機械的機關獸。"
"52","夜叉悟緣","8","50","52","","Y","Y","","","8000","480","103","62","120","4","0","800","1000","258","","","0","336|337","6|6","5","","","","","6","0","0","0","-10","6","-14","0","0","悟緣武僧被施法控制後，所變化的妖怪。"
"53","雨丹子五鬼","7","55","53","","Y","","","","12000","510","148","60","200","4","0","1200","3000","346","1696|1696|1696","4|4|4","5","348","4","4","","","949|717","20|5","0","0","0","0","-10","4","-12","0","0","黑壇教教主，道教裡面的除名叛徒，惡名昭彰於長安，專門用咒術為惡。在與主角交戰中還使出紙人代形的邪法。"
"57","機關和尚","13","44","57","","","","","","620","310","155","54","80","4","1","60","100","132","1690|1690|1690","3|2|1","5","304","5","4","","","","","2","0","0","-10","-10","0","0","0","0","少林寺木人巷的機關裝置，為了測試修行者的武術而製造的。"
"59","牛魔王","1","80","59","","Y","","","","30000","800","444","180","300","6","0","9999","9999","141","1719|1718|1720","18|18|13","7","464|468","20|15","8","1588|1588","3|3","","","-8","-8","-8","-12","-8","-8","-8","-8","0","出自西遊記，具有強大力量的魔王，友情客串演出。"
"60","冰魔薇達","1","34","60","","Y","","","","1200","130","70","45","78","4","1","150","100","111","1674","6","4","","","0","","","","","2","-14","0","0","0","0","0","0","0","凱利賓瓦力德之後裔，女中豪傑，被藍魔神施展附身術後，尚失神智並攻擊主角。"
"61","機關三魔獸","13","40","61","","Y","","","","3000","290","60","58","10","4","0","170","200","1","","","0","203","6","4","","","","","6","0","0","0","-10","0","0","0","0","是三頭機關魔獸─海鷹、琊虎、翟狼的後備型態；少了不少組件速度增快不少，但也同時降低了防禦力。"
"62","藍魔神本體","1","37","62","","Y","","","","3500","130","62","48","120","4","1","400","300","3","1673|1672","4|3","5","108","5","4","","","","","4","-16","0","0","0","0","0","0","0","發揮真正力量的藍魔神。"
"63","姆斯比爾","12","50","6","","Y","","","","500","160","65","45","90","3","1","350","300","245","1666|1667","3|2","4","62","4","5","","","","","-10","6","0","0","0","0","0","0","0","傳說在北歐一種住在火焰之地的巨人，周身包圍著火焰，非常暴躁，也從不跟人類說話，想燒盡一切眼前的事物。"
"64","藍魔神","12","49","13","","Y","","","","600","130","62","43","120","4","1","500","300","246","1673|1672","3|2","4","108","3","3","","","","","4","-12","0","0","0","0","0","0","0","藍人的領導者，是一女性外觀的藍人，是所有藍人﹝男性外觀﹞的首領，她住在海中冰山，受撒旦指使去移動島尋找主角。"
"65","影忍妖機","13","35","65","","","","","","300","216","100","50","22","4","1","65","30","181","","","0","","","0","","","","","2","2","0","0","-10","0","0","4","0","利用妖魔與機關人合一製造的特殊機種，擁有無人可匹敵的速度，搭配特製的鐵金刀能在一瞬間把認定的目標摧毀。"
"67","康那里士","23","42","67","","Y","","","","2500","320","80","48","100","3","1","450","500","257","1684|1552","5|4","4","","","0","1683|1683","2|1","","","0","0","0","0","-4","8","-10","2","0","梅羅文加護教騎士的指導教士。"
"68","撒旦麥爾斯","23","50","68","","Y","Y","","","4600","380","113","48","200","3","1","1000","800","1","1688|1688","2|3","5","262|263","3|2","4","1683|1683","2|1","","","-2","-2","-2","-2","-2","6","-16","-2","0","潛在魔性覺醒後的麥爾斯，除了外形之外可以說是完完整整的撒旦了。"
"69","撒旦麥爾斯","23","50","69","","Y","Y","","","3600","380","113","45","200","3","1","1000","800","1","1687","1","0","264","1","0","","","","","-2","-2","-2","-2","-2","6","-16","-2","0","潛在魔性覺醒後的麥爾斯，除了外形之外可以說是完完整整的撒旦了。"
"70","蜃樓王","12","50","16","","Y","","","","4000","300","68","43","130","3","0","800","200","276","1685|1686|1686","5|3|1","4","205|205","3|2","3","1578|1578","1|1","","","-2","-2","-2","-2","-10","4","-4","-2","0","在沙漠出現的幻象之王，外形變化多端。會把一般的旅人拉入魔天（幻象的世界）。"
