"enemy_id","enemy_name","action_type","source_id","action_name","attack_effect_id","attack_point","attribute_id","wide_range","affixation_effect","continuous_turns","add_buff","initial_usage_count","ai_rate","cooldown"
"74","撒旦","普通攻擊","","基本攻擊效果","122","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"46","蚩尤","普通攻擊","","基本攻擊效果","122","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"46","蚩尤","技能","1712","百闇川聚","419","3000","7","Y","0","0","0","8","6","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"46","蚩尤","技能","1716","風馳貫陰雷","435","3500","8","Y","0","0","0","15","6","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"46","蚩尤","技能","1717","奔雷閃襲","436","5000","8","","0","0","0","10","6","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"46","蚩尤","特殊攻擊","438","特殊攻擊效果 438","438","700","9","","0","0","0","12","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"46","蚩尤","特殊攻擊","437","特殊攻擊效果 437","437","2000","8","","16","5","0","10","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"46","蚩尤","治療／危急技能","1714","闇魔源","421","0","7","","0","0","0","2","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"46","蚩尤","治療／危急技能","1714","闇魔源","421","0","7","","0","0","0","1","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"59","牛魔王","普通攻擊","","基本攻擊效果","141","0","1","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"59","牛魔王","技能","1719","血靈還魂","465","4000","7","Y","0","0","0","18","7","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"59","牛魔王","技能","1718","青焰纏捲","466","2000","10","Y","4096","3","0","18","7","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"59","牛魔王","技能","1720","封術禁言","467","0","10","Y","16","5","0","13","7","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"59","牛魔王","特殊攻擊","464","特殊攻擊效果 464","464","6000","9","","0","0","0","20","8","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
