action_row,enemy_id,enemy_name,action_type,source_id,action_name,effect_id,attack_point,attribute_id,wide_range,add_hp,add_mp,add_sp,calculation,snatch_hp,snatch_mp,snatch_sp,affixation_effect,relieve_effect,add_buff,continuous_turns,initial_usage_count,ai_rate,risk_tags,targeting,limitation
1,74,撒旦,普通攻擊,,基本攻擊效果,122,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
2,46,蚩尤,普通攻擊,,基本攻擊效果,122,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
3,46,蚩尤,技能,1712,百闇川聚,419,3000,7,Y,,,,,,,,0,0,0,0,8,6,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
4,46,蚩尤,技能,1716,風馳貫陰雷,435,3500,8,Y,,,,,,,,0,0,0,0,15,6,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
5,46,蚩尤,技能,1717,奔雷閃襲,436,5000,8,,,,,,,,,0,0,0,0,10,6,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
6,46,蚩尤,特殊攻擊,438,特殊攻擊效果 438,438,700,9,,,,,,,,,0,0,0,0,12,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
7,46,蚩尤,特殊攻擊,437,特殊攻擊效果 437,437,2000,8,,,,,,,,,16,0,0,5,10,5,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
8,46,蚩尤,治療／危急技能,1714,闇魔源,421,0,7,,9999,,,,,,,0,0,0,0,2,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
9,46,蚩尤,治療／危急技能,1714,闇魔源,421,0,7,,9999,,,,,,,0,0,0,0,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
10,59,牛魔王,普通攻擊,,基本攻擊效果,141,0,1,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
11,59,牛魔王,技能,1719,血靈還魂,465,4000,7,Y,,,,,Y,,,0,0,0,0,18,7,HP_drain|area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
12,59,牛魔王,技能,1718,青焰纏捲,466,2000,10,Y,,,,,,,,4096,0,0,3,18,7,area_effect|status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
13,59,牛魔王,技能,1720,封術禁言,467,0,10,Y,,,,,,,,16,0,0,5,13,7,area_effect|status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
14,59,牛魔王,特殊攻擊,464,特殊攻擊效果 464,464,6000,9,,,,,,,,,0,0,0,0,20,8,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
15,59,牛魔王,特殊攻擊,468,特殊攻擊效果 468,468,3000,10,,,,,,,,Y,0,0,0,0,15,8,SP_drain,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
16,59,牛魔王,治療／危急技能,1588,八門定星術,14,0,0,,5000,,,,,,,0,0,0,0,3,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
17,59,牛魔王,治療／危急技能,1588,八門定星術,14,0,0,,5000,,,,,,,0,0,0,0,3,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
18,75,撒旦賽特,普通攻擊,,基本攻擊效果,412,0,9,,,,,,,,,512,0,0,8,,動態：連續普通攻擊越多，權重越低，最低 2。,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
19,75,撒旦賽特,技能,1710,霸王崩山勁,415,1500,7,Y,,,,,,,,0,0,0,0,5,6,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
20,75,撒旦賽特,技能,1710,霸王崩山勁,415,1500,7,Y,,,,,,,,0,0,0,0,5,6,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
21,75,撒旦賽特,特殊攻擊,413,特殊攻擊效果 413,413,520,9,,,,,,,,,0,0,0,0,8,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
22,75,撒旦賽特,特殊攻擊,414,特殊攻擊效果 414,414,2200,7,,,,,,,,,0,0,0,0,8,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
