role,slot,metric,rank,item_id,name,value,proficient_point,proficient_hard,special,acquisition
1,weapon,add_atk,1,580,軒轅劍,590,10,10,8151,candidate; availability and shared inventory not solved
1,weapon,add_atk,2,518,龍泉,250,,,8151,candidate; availability and shared inventory not solved
1,weapon,add_atk,3,519,泰阿,240,,,8152,candidate; availability and shared inventory not solved
1,weapon,add_def,1,516,干將,13,,,8149,candidate; availability and shared inventory not solved
1,weapon,add_def,2,509,雪浪劍,8,20,450,8081,candidate; availability and shared inventory not solved
1,weapon,add_def,3,505,斷梗,5,30,350,8077,candidate; availability and shared inventory not solved
1,weapon,add_spd,1,520,工布,6,,,8153,candidate; availability and shared inventory not solved
1,weapon,add_spd,2,514,魚腸,4,15,280,8148,candidate; availability and shared inventory not solved
1,weapon,add_spd,3,503,羽翼劍,3,8,220,8075,candidate; availability and shared inventory not solved
1,weapon,add_hp,1,580,軒轅劍,2,10,10,8151,candidate; availability and shared inventory not solved
1,weapon,add_hp,2,793,封印之劍,1,380,2800,8061,candidate; availability and shared inventory not solved
1,weapon,add_mp,1,580,軒轅劍,2,10,10,8151,candidate; availability and shared inventory not solved
1,weapon,add_mp,2,793,封印之劍,1,380,2800,8061,candidate; availability and shared inventory not solved
1,head,add_atk,1,895,海神盔,3,,,,candidate; availability and shared inventory not solved
1,head,add_atk,2,896,聖皇盔,2,,,,candidate; availability and shared inventory not solved
1,head,add_atk,3,904,金霞盔,2,,,,candidate; availability and shared inventory not solved
1,head,add_def,1,898,龍族盔,75,,,,candidate; availability and shared inventory not solved
1,head,add_def,2,904,金霞盔,66,,,,candidate; availability and shared inventory not solved
1,head,add_def,3,900,龍鱗盔,50,,,,candidate; availability and shared inventory not solved
1,head,add_spd,1,1028,鬼雲,4,,,,candidate; availability and shared inventory not solved
1,head,add_spd,2,892,輕鋼盔,2,,,,candidate; availability and shared inventory not solved
1,head,add_spd,3,904,金霞盔,2,,,,candidate; availability and shared inventory not solved
1,head,add_hp,1,900,龍鱗盔,2,,,,candidate; availability and shared inventory not solved
1,head,add_mp,1,898,龍族盔,100,,,,candidate; availability and shared inventory not solved
1,chest,add_atk,1,856,片葉鎧,5,,,,candidate; availability and shared inventory not solved
1,chest,add_atk,2,870,星狼雲鎧,5,,,,candidate; availability and shared inventory not solved
1,chest,add_atk,3,858,紫堂殼,3,,,,candidate; availability and shared inventory not solved
1,chest,add_def,1,869,冥妖戰甲,130,,,,candidate; availability and shared inventory not solved
1,chest,add_def,2,870,星狼雲鎧,128,,,,candidate; availability and shared inventory not solved
