pool,item_id,name,availability_note,source_id,sp_cost,add_hp,add_mp,add_sp,add_str,add_stamina,add_wis,add_spd,add_atk,add_def,hp,atk,def,spd,wis
native,47,蟹精魔機,acquisition not guaranteed,47,350,,,,,,,-6,15,10,2500,530,180,55,120
native,49,羯忍幻機,acquisition not guaranteed,49,300,,,,,,,3,10,5,1800,500,162,58,100
native,101,黏怪,acquisition not guaranteed,101,8,5,,,1,,,,,,6,19,18,16,10
native,118,吸血殭屍,acquisition not guaranteed,118,16,,,,,2,-3,,,,60,60,45,35,30
native,124,炎靈子,acquisition not guaranteed,124,180,30,,,,,,,5,3,630,380,80,58,135
native,125,吸血鬼王,acquisition not guaranteed,125,27,,,,3,1,,-2,,,100,87,40,43,50
native,126,邪靈,acquisition not guaranteed,126,20,-5,10,,,,,,,,30,83,85,40,60
native,127,石骨魚,acquisition not guaranteed,127,15,,,,,2,,1,,,30,45,30,26,18
native,128,石骨飛魚,acquisition not guaranteed,128,18,,,,,3,,2,,,50,58,43,40,18
native,129,阿加希歐,acquisition not guaranteed,129,25,,20,,,,3,,,,200,147,64,46,120
native,130,獢,acquisition not guaranteed,130,13,,,,1,2,,1,,,120,80,43,42,15
native,131,吸血鬼,acquisition not guaranteed,131,14,,,,1,2,1,,,,43,52,32,33,30
native,132,侏儒,acquisition not guaranteed,132,11,3,5,2,2,,,,,,18,31,25,23,25
native,133,亞格瑞斯,acquisition not guaranteed,133,28,,,,5,2,,-3,,,125,100,56,36,50
native,134,半人馬,acquisition not guaranteed,134,30,5,10,5,,,3,,,,110,90,53,43,70
native,135,美杜莎,acquisition not guaranteed,135,28,3,10,-5,,,,3,,,100,80,57,45,50
native,136,格萊艾,acquisition not guaranteed,136,26,-10,20,,,,3,,,,150,80,38,48,90
native,137,凱貝羅斯,acquisition not guaranteed,137,30,,,,,1,1,3,,,130,90,46,43,56
native,138,寒蛙,acquisition not guaranteed,138,30,,,,1,2,-5,2,,,140,111,65,43,70
native,139,瓶女,acquisition not guaranteed,139,35,20,3,-15,,,,,,,180,102,55,45,100
native,140,妖貓,acquisition not guaranteed,140,33,,5,,,,,3,,-5,90,93,42,53,90
native,141,牛頭魚,acquisition not guaranteed,141,40,,,,5,3,,-2,,,160,113,58,48,65
native,142,雪球怪,acquisition not guaranteed,142,32,-5,,,2,-2,2,2,,,100,116,89,40,80
native,143,溫蒂妮,acquisition not guaranteed,143,45,,,,3,-2,5,,,,155,110,60,45,110
native,144,竹妖,acquisition not guaranteed,144,120,,,,,,20,3,,5,420,320,103,60,80
native,145,魍魎,acquisition not guaranteed,145,145,,,,,,,-2,5,1,450,360,120,48,100
native,146,妖陀螺鬼,acquisition not guaranteed,146,160,100,50,,,,,,3,,500,400,130,56,140
native,147,水仙,acquisition not guaranteed,147,90,50,30,40,,,,,,,330,310,90,48,100
native,148,七仙女,acquisition not guaranteed,148,220,,,,,,,2,-5,12,1600,490,100,62,180
native,149,九天玄女,acquisition not guaranteed,149,280,,,,,,5,3,10,10,2200,500,96,65,180
native,150,嫦娥,acquisition not guaranteed,150,260,50,50,50,,,,4,2,2,1500,510,155,62,180
native,151,瓊霜,acquisition not guaranteed,151,100,,,,5,10,3,,,,500,245,100,45,120
native,152,瑪特女神,acquisition not guaranteed,152,185,,,,,,10,4,,5,680,400,150,55,160
native,153,瓦雀,acquisition not guaranteed,153,50,,10,,,,5,,,,200,137,90,40,120
native,154,上元夫人,acquisition not guaranteed,154,90,,,,-5,10,12,,,,600,360,110,50,130
native,155,蠶女,acquisition not guaranteed,155,175,,45,,,,4,,,5,800,475,156,62,120
native,156,女夷,acquisition not guaranteed,156,180,,70,25,,,,,,2,1430,460,98,64,138
native,157,女夷22,acquisition not guaranteed,157,180,,70,25,,,,,,2,1430,460,98,64,138
native,158,娥皇,acquisition not guaranteed,158,240,,,,,,,2,8,-3,1700,503,108,60,160
native,159,女英,acquisition not guaranteed,159,190,,,,,,,1,-3,8,1650,495,115,64,160
native,160,席娜,acquisition not guaranteed,160,70,20,,40,,,3,,,,350,200,75,46,120
native,161,亞坦,acquisition not guaranteed,161,52,-10,,,4,,10,,,,220,150,93,43,120
native,162,蝠妖,acquisition not guaranteed,162,38,,-10,,,4,,,,,160,140,70,42,80
native,163,朱蛤獸,acquisition not guaranteed,163,45,,,15,-3,6,,,,,180,157,79,38,100
native,164,神燈巨人,acquisition not guaranteed,164,60,-15,-15,-15,3,3,3,-3,,,300,170,88,37,160
native,165,色烈芬,acquisition not guaranteed,165,215,60,60,60,,,,1,1,1,2000,580,122,60,180
native,166,藍人,acquisition not guaranteed,166,35,,,,,2,15,,,,120,110,72,40,52
native,167,戰死屍鬼,acquisition not guaranteed,167,188,,,,,,,-2,8,3,1300,420,134,62,100
native,170,殭屍,acquisition not guaranteed,170,10,2,,3,,,,-2,,,16,24,18,16,10
native,171,幽靈,acquisition not guaranteed,171,11,,10,,,,,2,,,18,30,12,30,15
native,172,阿普洛迪,acquisition not guaranteed,172,260,,80,,,,10,3,,,2000,570,166,64,180
native,173,阿拔東,acquisition not guaranteed,173,105,,,45,,,15,,,6,480,300,88,50,150
native,174,阿高司,acquisition not guaranteed,174,75,20,,15,10,,,,,,350,150,73,55,125
native,175,炎顱,acquisition not guaranteed,175,45,,,,3,5,-5,,,,180,133,65,43,56
native,177,火蠑螈,acquisition not guaranteed,177,32,15,-5,5,,,,,,,170,140,74,45,70
native,178,神龍,acquisition not guaranteed,178,320,,,,,,,6,8,8,3800,580,140,62,160
native,179,鳳凰,acquisition not guaranteed,179,350,300,100,,,,,,8,,3500,600,160,60,120
native,181,庫塔,acquisition not guaranteed,181,75,,,,5,5,5,-5,,,380,215,95,43,160
native,184,食屍鬼,acquisition not guaranteed,184,120,-50,,,,,,3,4,,500,344,103,56,80
native,185,山鬼,acquisition not guaranteed,185,70,,,,,,,-3,6,2,250,280,120,46,80
native,186,黑無常,acquisition not guaranteed,186,240,-60,,,,,,2,7,6,2700,500,130,60,120
native,189,食人花,acquisition not guaranteed,189,28,,,,,,,-3,1,5,140,125,88,43,20
native,191,樂仙女,acquisition not guaranteed,191,200,300,100,-80,,,,,,,1160,430,112,63,130
native,194,白無常,acquisition not guaranteed,194,250,-20,80,,,,,3,,2,2300,530,136,64,150
native,197,耆戈,acquisition not guaranteed,197,88,60,30,50,,,,,,,320,205,100,48,120
native,198,太白金星,acquisition not guaranteed,198,300,,,,,,20,1,15,-6,2500,560,145,68,180
native,199,天將,acquisition not guaranteed,199,270,,-50,,,,,,8,3,2800,570,135,60,100
native,206,惡靈,acquisition not guaranteed,206,15,,-5,3,,2,,,,,40,56,30,38,24
native,208,水鬼,acquisition not guaranteed,208,14,,,10,1,,,1,,,53,53,34,32,30
native,213,龍王,acquisition not guaranteed,213,310,10,-2,2,,,,,,,3200,580,160,68,160
native,214,黑龍,acquisition not guaranteed,214,290,,,,,,,5,7,7,2800,550,150,64,140
native,221,枯屍鬼,acquisition not guaranteed,221,40,,,,,5,-3,,,,300,127,50,35,60
native,222,枯屍鬼王,acquisition not guaranteed,222,48,10,,5,,,,-2,,,400,136,55,37,89
native,223,石獅精,acquisition not guaranteed,223,260,,,,,,-10,4,6,6,1800,530,160,58,100
native,226,獨角獸,acquisition not guaranteed,226,175,3,,,,,,3,,5,1000,500,100,63,120
native,238,尼梅亞獅,acquisition not guaranteed,238,160,,,,,,,-5,10,4,1500,530,166,58,100
native,253,雪芙,acquisition not guaranteed,253,180,35,,50,,,,,3,,1000,500,125,60,180
native,254,肯塔羅斯,acquisition not guaranteed,254,140,,,,,,8,,12,-6,1200,480,122,52,120
native,255,尼凱,acquisition not guaranteed,255,360,,,,,,,6,12,8,2600,600,180,64,180
native,267,冥府獄卒,acquisition not guaranteed,267,150,,,,,,,-3,8,3,700,390,106,54,120
native,269,冤魂,acquisition not guaranteed,269,130,,,,,,,3,-4,6,460,340,95,58,90
native,271,吊死鬼,acquisition not guaranteed,271,138,50,,,,,,-3,2,2,580,355,100,54,80
native,272,餓死鬼,acquisition not guaranteed,272,130,-50,20,,,,,2,,,400,330,88,49,100
native,273,瘟鬼,acquisition not guaranteed,273,168,,,,,,,1,6,3,620,378,96,56,80
native,274,夜叉,acquisition not guaranteed,274,100,,,,10,-2,,-3,,,400,350,93,44,60
native,277,雪女,acquisition not guaranteed,277,188,-30,,,,,,1,5,3,1500,446,105,63,130
native,281,天宮仙女,acquisition not guaranteed,281,190,,,,,,,-4,5,4,1350,458,120,66,100
native,316,妖燈鬼,acquisition not guaranteed,316,190,,,,,,,4,-4,4,1080,460,96,60,150
native,317,迷魂霧妖,acquisition not guaranteed,317,193,,-40,,,,,4,,2,80,460,10,68,120
native,368,鬥戰聖佛,acquisition not guaranteed,368,380,,,,,,-20,2,5,20,3000,630,160,66,170
native,377,死靈騎士,acquisition not guaranteed,377,205,,,,,,,3,10,-5,3000,530,160,62,120
native,390,鬼爵,acquisition not guaranteed,390,64,25,,,,,,-3,5,,220,160,79,40,80
native,391,魚身人面妖,acquisition not guaranteed,391,53,,,,,,,2,2,2,180,150,89,45,90
native,392,閻惡靈,acquisition not guaranteed,392,58,-15,-10,-5,,,,2,1,6,160,164,60,38,80
native,401,戰馬,acquisition not guaranteed,401,0,,,,,,,,,,0,0,0,0,0
native,2201,土匪,acquisition not guaranteed,2201,200,,,,,,,3,10,-5,3000,530,160,62,120
native,2203,山鬼,original comment: test only,2203,70,,,,,,,-3,6,2,9999,1,999,46,80
static_mod,10001,妮可・契靈,requires static capture MOD; runtime summoning still case-dependent,2,10,20,34,25,1,1,19,4,1,25,59,66,44,30,45
static_mod,10002,薇達・契靈,requires static capture MOD; runtime summoning still case-dependent,3,90,96,69,35,7,4,25,3,9,30,944,288,106,46,100
static_mod,10003,麥爾斯・契靈,requires static capture MOD; runtime summoning still case-dependent,4,10,32,22,25,1,1,19,4,1,25,189,48,29,32,35
static_mod,10004,姆斯比爾・契靈,requires static capture MOD; runtime summoning still case-dependent,6,90,108,44,70,4,4,22,8,6,30,2124,132,75,45,90
static_mod,10005,康那里士・契靈,requires static capture MOD; runtime summoning still case-dependent,7,30,69,28,45,2,2,21,6,3,27,1416,108,62,48,100
