"source_file","purpose"
"GameData_ItemData.lua","loaded as original data definition"
"GameData_BattleCharData.lua","loaded as original data definition"
"GameData_WeaponData.lua","loaded as original data definition"
"GameData_ArmorData.lua","loaded as original data definition"
"GameData_SkillData.lua","loaded as original data definition"
"GameData_AttackEffect.lua","loaded as original data definition"
"GameData_NewGame.lua","loaded as original data definition"
"GameData_PlayerLevel.lua","loaded as original data definition"
"GameData_RaceDefine.lua","loaded as original data definition"
"ItemString.txt","maps original StringDB keys to Traditional Chinese text"
"Generated files","read-only static export; no save data or game installation modified"
