"item_id","name","race_id","level","roles","sp_cost","consumes_sp","use_place","is_unique","combatant_hp","combatant_atk","combatant_def","combatant_spd","combatant_wis","guardian_effect_id","attack_point","attribute_id","wide_range","continuous_turns","affixation_effect","relieve_effect","add_buff","resist_attribute","snatch_hp","snatch_mp","snatch_sp","escape","summon_id","summon_count","info_text","help_text"
"47","蟹精魔機","26","50","1|2|3|4","350","Y","1","","2500","530","180","55","120","433","0","8","","0","0","0","0","0","","","","","0","0","消費：350點體力","蒐集殘缺的機關設計圖後，請古玩店製作出的強力機關。"
"49","羯忍幻機","26","45","1|2|3|4","300","Y","1","","1800","500","162","58","100","122","0","9","","0","0","0","0","0","","","","","0","0","消費：300點體力","蒐集殘缺的機關設計圖後，請古玩店製作出的強力機關。"
"101","黏怪","9","12","1|2|3|4","8","Y","1","","6","19","18","16","10","1","0","9","","0","0","0","0","0","","","","","0","0","消費：8點體力","由動物靈所控制的單細胞生命體，會攻擊其他生物，用分泌出來的強酸來吞食。"
"118","吸血殭屍","3","18","1|2|3|4","16","Y","1","","60","60","45","35","30","4","0","9","","0","0","0","0","0","","","","","0","0","消費：16點體力","被吸血鬼吸血致死的人。如果沒被黑暗之主選上的話，只能作一沒有意識的害人軀殼。"
"124","炎靈子","2","44","1|2|3|4","180","Y","1","","630","380","80","58","135","350","0","1","","0","0","0","0","0","","","","","0","0","消費：180點體力","一般是被召喚出現的，可以自由的控制火燄；炎靈子出現時所有的火燄便如有生命般的任意飛舞。"
"125","吸血鬼王","3","26","1|2|3|4","27","Y","1","","100","87","40","43","50","27","0","9","","0","0","0","0","0","","","","","0","0","消費：27點體力","眾多吸血鬼中，能力較高者。"
"126","邪靈","7","25","1|2|3|4","20","Y","1","","30","83","85","40","60","134","0","9","","0","0","0","0","0","","","","","0","0","消費：20點體力","常與惡靈在一起，但因怨念與邪心較重，所以也較惡靈可怕。"
"127","石骨魚","5","16","1|2|3|4","15","Y","1","","30","45","30","26","18","1","0","9","","0","0","0","0","0","","","","","0","0","消費：15點體力","鱗片如石般堅硬，眼大如牛、鰭如火燄；專吃木頭的怪獸。"
"128","石骨飛魚","5","20","1|2|3|4","18","Y","1","","50","58","43","40","18","134","0","9","","0","0","0","0","0","","","","","0","0","消費：18點體力","某些石骨魚妖力較高的會生出一對翅膀，所有的能力也較高。"
"129","阿加希歐","9","27","1|2|3|4","25","Y","1","","200","147","64","46","120","5","0","9","","0","0","0","0","0","","","","","0","0","消費：25點體力","是一種與巫師定下契約的妖精，通常被封於瓶子或戒指之內，在需要時再將其呼喚出，其能力相當廣泛，從做家事到殺人皆沒問題。達成任務後便又被封回去了。"
"130","獢","5","24","1|2|3|4","13","Y","1","","120","80","43","42","15","69","0","9","","0","0","0","0","0","","","","","0","0","消費：13點體力","梟頭、狼身、蛇尾，傳言會以恐怖怪異的叫聲震懾敵人，只能被召喚出現；傳說是地獄的魔獸。"
