"item_id","name","types","roles","discard","is_unique","Calculation","Consumption","Cons_MP","Cons_SP","Cons_Throw","Cons_Item","UsePlace","Price","ProficientPoint","ProficientHard","AddSpecial","SutraName","ResistanceSK","SkillExp","AddHP","AddMP","AddSP","AddSTR","AddStamina","AddWIS","AddSPD","AddFriend","AddDodge","AddATK","AddDEF","AttrFire","AttrIce","AttrWind","AttrEarth","AttrPoison","AttrLight","AttrDark","AttrThunder","AttrPhysical","AttackEffect","UseScript","ViewScript","function_flags"
"1","賽特","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4","","","","","","","","","","","",
"2","妮可","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","-2","","","7","","",
"3","薇達","IT_06","","","","","","","","","","","","","","","","","","","","","","","","-2","","","-3","","","","","","","","","","","116","","",
"4","麥爾斯","IT_06","","","","","","","","","","","","","","","","","","","","","","","","-4","","","-2","","","","","","","","","","","1","","",
"5","莉蓮","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"6","姆斯比爾","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-16","6","","","","","","","","61","","",
"7","康那里士","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4","8","-6","2","","74","","",
"8","卡瑪","IT_09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"9","肯迪","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"10","慧彥","IT_06","","","","","","","","","","","","","","","","","","","","","","","","-5","","","3","","","","","","","-10","","","-2","188","","",
"11","安卡","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"12","恐懼之王","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","6","-16","","","159","","",
"13","藍魔神","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","-10","","","","","","","","3","","",
"14","黃雷","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"15","遠恩","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"16","蜃樓王","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2","-2","-2","-2","-10","4","-4","-2","","204","","",
"17","李靖","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"18","鬼猴","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","-10","-10","2","-2","","-8","150","","",
"19","天使石像","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"20","人面獅身","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"21","雅典娜石像","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"22","波希頓石像","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"23","高仙芝","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"24","段秀實","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"25","麥爾丹","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"26","李嗣業","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"27","軒轅劍仙","IT_05|IT_08","1|2|3|4","","","","400","","Y","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"28","撒旦","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4","-2","-4","-4","-10","","-20","-4","","463","","",
"29","薩西","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"30","波爾","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"31","白連儀","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"32","雨丹子","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2","","","","-10","4","-4","","","346","","",
"33","張客","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2","","","","","379","","",
"34","慧榮","IT_06","","","","","","","","","","","","","","","","","","","","","","","","-3","","","2","","","","","","","","","","","340","","",
"35","軒轅劍僮","IT_05|IT_06|IT_08","1|2|3|4","","","","600","","Y","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","395","","",
"36","林明","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"37","夜行裝林明","IT_06","","","","","","","","","","","","","","","","","","","","","","","","1","","","-2","","","","","","","","","","","2","","",
"38","鎮邪","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","2","-4","-4","","","1","","",
"39","王思月","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","-6","-4","","354","","",
"40","悟緣","IT_06","","","","","","","","","","","","","","","","","","","","","","","","-2","","","-1","","","","","","","","","","","307","","",
"41","唐玄宗","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"42","安祿山","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"43","楊貴妃","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"44","楊國忠","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"45","高力士","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"46","蚩尤","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10","6","-12","-4","","122","","",
"47","蟹精魔機","IT_12","1|2|3|4","","","","350","","Y","","","1","","","","","","","","","","","","","","-6","","","15","10","-2","","","","-10","","","-4","","433","","",
"48","機關三魔獸","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","-10","","","2","","","","",
"49","羯忍幻機","IT_12","1|2|3|4","","","","300","","Y","","","1","","","","","","","","","","","","","","3","","","10","5","2","","","","","2","","-4","","122","","",
"50","影忍妖機","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","-10","","","4","","181","","",
"51","羯羊妖機","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4","2","-2","-6","-10","4","-2","4","","131","","",
"52","夜叉悟緣","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","-10","6","-14","","","258","","",
"53","雨丹子五鬼","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10","4","-12","","","346","","",
"54","人屍曼陀羅陣","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"55","撒旦曼陀羅陣","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"56","菲力斯","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"57","機關和尚","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","-10","-10","","","","","132","","",
"58","丕平三世","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"59","牛魔王","IT_06","1|2|3|4","","","","500","","Y","","","1","","","","","","","","","","","","","","10","","","20","20","-8","-8","-8","-12","-8","-8","-8","-8","","141","","",
"60","冰魔薇達","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","-14","","","","","","","","111","","",
"61","機關三魔獸","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","-10","","","","","1","","",
"62","藍魔神本體","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","-16","","","","","","","","3","","",
"63","姆斯比爾","IT_05|IT_06|IT_08","1|2|3|4","","","","100","","Y","","","1","","","","","","","","","","","","","","","","","","","-10","6","","","","","","","","245","","",
"64","藍魔神","IT_05|IT_06|IT_08","1|2|3|4","","","","120","","Y","","","1","","","","","","","","","","","","","","","","","","","4","-12","","","","","","","","246","","",
"65","影忍妖機","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","-10","","","4","","181","","",
"66","李白","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"67","康那里士","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4","8","-10","2","","257","","",
"68","撒旦麥爾斯","IT_06","","","","","","","","","","","","","","","","","","","","","","","","-4","","","-2","","-2","-2","-2","-2","-2","6","-16","-2","","1","","",
"69","撒旦麥爾斯","IT_06","","","","","","","","","","","","","","","","","","","","","","","","-4","","","-2","","-2","-2","-2","-2","-2","6","-16","-2","","1","","",
"70","蜃樓王","IT_05|IT_06|IT_08","1|2|3|4","","","","150","","Y","","","1","","","","","","","","","","","","","","","","","","","-2","-2","-2","-2","-10","4","-4","-2","","276","","",
"71","木鐵人","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","-10","-10","","","-2","-2","132","","",
"72","康那里士","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4","8","-20","2","","257","","",
"73","撒旦麥爾斯","IT_06","","","","","","","","","","","","","","","","","","","","","","","","-4","","","-2","","-2","-2","-2","-2","-2","6","-16","-2","","1","","",
"74","撒旦","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8","-8","-8","-8","-8","4","-14","-8","","122","","",
"75","撒旦賽特","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2","-4","-2","-2","-4","-4","-14","-2","","412","","",
"76","羯忍幻機","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","2","","-4","","122","","",
"77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"90","薇達(面紗版)","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
