"party_slot","character_name","learned_at_level","skill_id","skill_name","consumption","consumes_mp","consumes_sp","attack_effect_id","attack_point","attribute_id","wide_range","affixation_effect","add_buff","info_text"
"1","賽特","2","1634","疾鷹七痕劍","0","","","75","7","9","","0","0","效果：連續七次物理傷害  對象：敵方單人"
"1","賽特","5","1501","烈火術","10","Y","","11","30","1","","0","0","效果：火系低等傷害  對象：敵方單人"
"1","賽特","8","1505","烈日蝕睛","15","Y","","39","0","1","","128","0","效果：盲目  對象：敵方單人"
"1","賽特","10","1517","轉風術","18","Y","","32","50","3","","0","0","效果：風系低等傷害  對象：敵方單人"
"1","賽特","12","1518","浸沐春風","10","Y","","85","0","3","","0","0","效果：回復 生命 60點  對象：我方單人"
"1","賽特","15","1504","火炎彈","25","Y","","89","100","1","","0","0","效果：火系中等傷害  對象：敵方單人"
"1","賽特","18","1575","合精法","18","Y","","95","0","0","","0","0","效果：回復 體力 100點  對象：我方單人"
"1","賽特","20","1506","熾炎波","35","Y","","105","80","1","Y","0","0","效果：火系中等傷害  對象：敵方全體"
"1","賽特","23","1576","神恩廣澤","35","Y","","139","0","0","Y","0","0","效果：回復 生命 200點  對象：我方全體"
"1","賽特","26","1503","火靈氣罩","30","Y","","70","0","1","","0","2147483648.0","效果：增加 30％ 攻擊力  對象：我方單人"
"1","賽特","29","1527","落石術","40","Y","","184","300","4","","0","0","效果：土系中等傷害  對象：敵方單人"
"1","賽特","32","1502","焰火環","30","Y","","12","0","1","","1","0","效果：麻痺  對象：敵方單人"
"1","賽特","34","1528","石龜護甲","35","Y","","333","0","4","","0","536870912","效果：增加 30％ 防禦力  對象：我方單人"
"1","賽特","37","1564","炙炎旋流","40","Y","","359","0","10","","0","0","效果：增加5回合50％火系抗力 對象：我方單人"
"1","賽特","39","1554","迷意波","45","Y","","365","0","10","","32","0","效果：瘋狂  對象：敵方單人"
"1","賽特","42","1581","順脈心法","100","Y","","14","0","0","","0","0","效果：回復 體力 300點  對象：我方單人"
"1","賽特","45","1594","離僵赤金","25","Y","","439","0","11","","0","0","治療痲痺、定身、寄身 對象：我方單人"
"1","賽特","48","1507","朱雀振翅","120","Y","","440","1500","1","Y","0","0","效果：火系高等傷害  對象：敵方全體"
"1","賽特","51","1585","逆轉丹行術","150","Y","","14","0","0","","0","0","效果：回復 體力 500點  對象：我方單人"
"1","賽特","54","1532","亞特拉斯巨靈","200","Y","","441","2000","4","Y","0","0","效果：土系超高等傷害  對象：敵方全體"
"1","賽特","57","1573","借物代形","100","Y","","364","0","10","","0","67108864","效果：完全抵抗敵方攻擊五次 對象：我方單人"
"1","賽特","60","1508","火神降臨","250","Y","","442","2500","1","Y","0","0","效果：火系超高等傷害  對象：敵方全體"
"2","妮可","7","1533","疾電術","12","Y","","17","40","8","","0","0","效果：雷電系低等傷害  對象：敵方單人"
"2","妮可","7","1640","靈弓蛇箭","0","","","79","70","9","","0","0","效果：物理傷害  對象：敵方單人"
"2","妮可","8","1574","氣療術","15","Y","","14","0","0","","0","0","效果：回復 生命 100點  對象：我方單人"
"2","妮可","10","1551","閻火術","20","Y","","19","65","7","","0","0","效果：暗系低等傷害  對象：敵方單人"
"2","妮可","13","1509","魂野魔露","10","Y","","60","0","2","","8","0","效果：昏睡  對象：敵方單人"
"2","妮可","15","1510","千水凝冰","30","Y","","77","60","2","Y","0","0","效果：水系低等傷害  對象：敵方全體"
"2","妮可","17","1590","清風咒","25","Y","","96","0","11","","0","0","治療中毒、昏睡、瘋狂、驚嚇 對象：我方單人"
"2","妮可","19","1552","食魂咒","18","Y","","59","0","7","","64","0","效果：驚嚇  對象：敵方單人"
"2","妮可","21","1555","煉獄陰火","40","Y","","106","130","7","Y","0","0","效果：暗系中等傷害  對象：敵方全體"
"2","妮可","23","1514","寒冰星雨","40","Y","","142","150","2","","0","0","效果：水系中等傷害  對象：敵方單人"
"2","妮可","25","1578","神癒咒","30","Y","","14","0","0","","0","0","效果：回復 生命 500點  對象：我方單人"
"2","妮可","27","1513","冰石亂墜","50","Y","","183","100","2","Y","0","0","效果：水系高等傷害  對象：敵方全體"
"2","妮可","29","1556","衰竭術","45","Y","","185","0","7","","512","0","效果：退化  對象：敵方單人"
"2","妮可","31","1535","坎離雷電","55","Y","","202","250","8","Y","0","0","效果：雷電系中等傷害  對象：敵方全體"
"2","妮可","33","1537","天翔奔雷破","70","Y","","335","500","8","Y","0","0","效果：雷電系中高等傷害  對象：敵方全體"
"2","妮可","35","1567","寒雪氣罩","40","Y","","360","0","10","","0","0","效果：增加5回合50％水系抗力 對象：我方單人"
"2","妮可","38","1553","五毒咒","65","Y","","366","300","7","Y","4096","0","效果：暗系中等傷害  對象：敵方全體"
"2","妮可","40","1557","依魔行意","40","Y","","392","0","7","","256","0","效果：寄生  對象：敵方單人"
"2","妮可","43","1536","太陰神雷","80","Y","","445","800","8","","0","0","效果：雷電系中高等傷害  對象：敵方單人"
"2","妮可","45","1563","萬蠱纏身","75","Y","","446","400","10","","4096","0","效果：中毒傷害  對象：敵方單人"
"2","妮可","48","1571","妖魔滅道","40","Y","","361","0","10","","0","0","效果：增加5回合50％光系抗力 對象：我方單人"
"2","妮可","50","1558","紫氣闇龍","100","Y","","447","1000","7","","0","0","效果：暗系中高等傷害  對象：敵方單人"
"2","妮可","53","1538","天雷震八方","150","Y","","448","1500","8","","0","0","效果：雷電系高等傷害  對象：敵方單人"
"2","妮可","55","1586","浴火重生咒","150","Y","","140","0","0","","0","0","效果：解除瀕死狀態  對象：我方單人"
"2","妮可","57","1560","冥流潺入","200","Y","","449","2000","7","","0","0","效果：暗系高等傷害  對象：敵方單人"
"2","妮可","59","1515","青龍雲屏","280","Y","","451","3500","2","","0","0","效果：水系超高等傷害  對象：敵方單人"
"2","妮可","60","1559","十邪散魂","300","Y","","450","3000","7","Y","0","0","效果：暗系超高等傷害  對象：敵方全體"
"3","卡瑪","25","1521","青風薪榮","40","Y","","145","0","3","","0","0","效果：解除瀕死狀態  對象：我方單人"
"3","卡瑪","25","1519","御風術","25","Y","","143","0","3","","0","1073741824","效果：增加 30％ 敏捷力  對象：我方單人"
"3","卡瑪","25","1520","空靈旋","30","Y","","144","200","3","","0","0","效果：風系中等傷害  對象：敵方單人"
"3","卡瑪","25","1534","電氣角鑽","20","Y","","147","0","8","","1","0","效果：麻痺  對象：敵方單人"
"3","卡瑪","25","1574","氣療術","15","Y","","14","0","0","","0","0","效果：回復 生命 100點  對象：我方單人"
"3","卡瑪","25","1590","清風咒","25","Y","","96","0","11","","0","0","治療中毒、昏睡、瘋狂、驚嚇 對象：我方單人"
"3","卡瑪","25","1542","禁言封咒術","30","Y","","148","0","6","","16","0","效果：封魔  對象：敵方單人"
"3","卡瑪","25","1543","聖光彈","20","Y","","149","100","6","","0","0","效果：光系低等傷害  對象：敵方單人"
"3","卡瑪","25","1645","血刃飄零","0","","","301","300","9","","0","0","效果：物理傷害  對象：敵方單人"
"3","卡瑪","27","1522","天風捲千鈞","55","Y","","146","160","3","Y","0","0","效果：風系中高等傷害  對象：敵方全體"
"3","卡瑪","29","1591","撥雲見日","20","Y","","187","0","11","","0","0","治療盲目 狀態  對象：我方單人"
"3","卡瑪","32","1544","聖火幻劍","40","Y","","186","300","6","","0","0","效果：光系中等傷害  對象：敵方單人"
"3","卡瑪","34","1578","神癒咒","30","Y","","14","0","0","","0","0","效果：回復 生命 500點  對象：我方單人"
"3","卡瑪","37","1569","三藏淨身咒","35","Y","","341","0","10","","0","0","效果：增加5回合50％毒系抗力 對象：我方單人"
"3","卡瑪","39","1582","風砂甘霖術","80","Y","","367","0","0","Y","0","0","效果：回復 生命 1000點  對象：我方全體"
"3","卡瑪","42","1577","喚魂咒","70","Y","","140","0","0","","0","0","效果：解除瀕死狀態  對象：我方單人"
"3","卡瑪","44","1523","怒空摘星","150","Y","","443","1000","3","Y","0","0","效果：風系高等傷害  對象：敵方全體"
"3","卡瑪","47","1595","化枯轉榮","25","Y","","311","0","11","","0","0","治療退化 狀態  對象：我方單人"
"3","卡瑪","49","1584","仙靈息","250","","Y","14","0","0","","0","0","效果：回復 靈力 200點並消耗 體力 250點"
"3","卡瑪","52","1539","雲龍身四縱","230","Y","","452","2500","8","","0","0","效果：雷電系超高等傷害  對象：敵方單人"
"3","卡瑪","54","1596","騰蛇棄鱗","50","","Y","22","0","11","","0","0","解除所有狀態  對象：我方單人"
"3","卡瑪","57","1588","八門定星術","130","Y","","14","0","0","","0","0","效果：回復 生命 5000點  對象：我方單人"
"3","卡瑪","59","1540","雷神動九天","300","Y","","453","3000","8","Y","0","0","效果：雷電系超高等傷害  對象：敵方全體"
"3","卡瑪","60","1524","白虎星降","320","Y","","454","3500","3","Y","0","0","效果：風系超高等傷害  對象：敵方全體"
"4","李靖","35","1529","濤瀾動地","50","Y","","277","380","4","Y","0","0","效果：土系中等傷害  對象：敵方全體"
"4","李靖","35","1530","狂沙飛石","65","Y","","278","500","4","","0","0","效果：土系中高等傷害  對象：敵方單人"
"4","李靖","35","1525","錮元入石","30","Y","","279","0","4","","4","0","效果：石化  對象：敵方單人"
"4","李靖","35","1545","霞雲罩身","25","Y","","280","0","6","Y","0","0","效果：脫離戰鬥  對象：我方全體"
"4","李靖","35","1546","仙音淨化","35","Y","","281","200","6","Y","0","0","效果：光系低等傷害  對象：敵方全體"
"4","李靖","35","1547","九龍化傷術","40","Y","","282","0","6","","0","0","效果：回復 生命 1000點  對象：我方單人"
"4","李靖","35","1561","土地神念法","1","Y","","250","0","10","","0","0","脫離迷宮"
