"party_slot","character_name","sequence","skill_id","skill_name","required_special_exp","consumption","consumes_mp","consumes_sp","attack_effect_id","attack_point","attribute_id","wide_range","continuous_turns","affixation_effect","relieve_effect","add_buff","resist_attribute","snatch_hp","snatch_mp","snatch_sp","escape","summon_id","summon_count"
"1","賽特","1","1635","虛影斬","200","400","","","127","35","9","","0","0","0","0","0","","","","","0","0"
"1","賽特","2","1637","蛟龍翻身","400","500","","","368","1000","1","Y","0","0","0","0","0","","","","","0","0"
"1","賽特","3","1638","霸王崩山勁","450","500","","","369","1800","9","Y","0","0","0","0","0","","","","","0","0"
"1","賽特","4","1639","天狼巽閃","500","404","","","370","6000","9","","0","0","0","0","0","","","","","0","0"
"2","妮可","1","1641","寒山月引","200","405","","","196","300","7","","0","0","0","0","0","","","","","0","0"
"2","妮可","2","1642","三界妖靈","350","406","","","371","700","7","","0","0","0","0","0","","","","","0","0"
"2","妮可","3","1643","靈箭幻舞","450","500","","","372","500","9","Y","0","0","0","0","0","","","","","0","0"
"2","妮可","4","1644","無我滅境","500","500","","","373","2000","7","Y","0","0","0","0","0","","","","","0","0"
"3","卡瑪","1","1646","水月流轉","250","0","","","302","500","9","","0","0","0","0","0","","","","","0","0"
"3","卡瑪","2","1648","元極四方","700","500","","","376","3000","6","Y","0","0","0","0","0","","","","","0","0"
"4","李靖","1","1650","天將伏千軍","300","500","","","289","200","9","Y","0","0","0","0","0","","","","","0","0"
"4","李靖","2","1652","真武神威","350","409","","","377","4000","6","","0","0","0","0","0","","","","","0","0"
