"item_id","name","level","area","types","roles","consumption","consumes_mp","consumes_sp","consumes_throwable","consumes_item","use_place","attack_effect_id","attack_point","attribute_id","wide_range","continuous_turns","affixation_effect","relieve_effect","add_buff","resist_attribute","snatch_hp","snatch_mp","snatch_sp","escape","summon_id","summon_count","info_text","help_text"
"1501","烈火術","5","1","IT_05","1|2","10","Y","","","","1","11","30","1","","0","0","0","0","0","","","","","0","0","效果：火系低等傷害  對象：敵方單人","最初期的火系魔法，能憑空產生一烈焰燃燒敵人。"
"1502","焰火環","25","1","IT_04","1|2","30","Y","","","","1","12","0","1","","8","1","0","0","0","","","","","0","0","效果：麻痺  對象：敵方單人","引天外方界高熱的火環將敵人緊緊的束縛住。"
"1503","火靈氣罩","25","0","IT_03","1|2","30","Y","","","","1","70","0","1","","5","0","0","2147483648.0","0","","","","","0","0","效果：增加 30％ 攻擊力  對象：我方單人","利用火的力量加諸在我方伙伴身上使其激發出內在潛能。"
"1504","火炎彈","18","0","IT_05","1|2","25","Y","","","","1","89","100","1","","0","0","0","0","0","","","","","0","0","效果：火系中等傷害  對象：敵方單人","將熾熱的烈火凝聚成威力強大的火球彈，在碰觸到敵人時則瞬間將全部能量釋放於的人身上。"
"1505","烈日蝕睛","8","0","IT_04","1|2","15","Y","","","","1","39","0","1","","5","128","0","0","0","","","","","0","0","效果：盲目  對象：敵方單人","借用太陽的強光照向敵人，能夠使敵人暫時失去視覺。"
"1506","熾炎波","25","0","IT_05","1","35","Y","","","","1","105","80","1","Y","0","0","0","0","0","","","","","0","0","效果：火系中等傷害  對象：敵方全體","將烈火氣化為一陣陣高熱的氣燄波浪向前吹去。"
"1507","朱雀振翅","0","0","IT_05","1","120","Y","","","","1","440","1500","1","Y","0","0","0","0","0","","","","","0","0","效果：火系高等傷害  對象：敵方全體","召喚南方聖獸─朱雀，全身發出不可思議的超高熱浪，再以高速的振翅颳出高熱的颶風傷害敵人。"
"1508","火神降臨","0","0","IT_05","1","250","Y","","","","1","442","2500","1","Y","0","0","0","0","0","","","","","0","0","效果：火系超高等傷害  對象：敵方全體","將施法者的元神與火神相融攻擊敵人其強大的熱量可連身帶靈全數燒盡。"
"1509","魂野魔露","11","1","IT_04","2|3|4","10","Y","","","","1","60","0","2","","5","8","0","0","0","","","","","0","0","效果：昏睡  對象：敵方單人","借用水精靈所散發出的奇特山露水，被滴到的人就會不自覺的想睡覺。"
"1510","千水凝冰","13","1","IT_05","2|3|4","30","Y","","","","1","77","60","2","Y","0","0","0","0","0","","","","","0","0","效果：水系低等傷害  對象：敵方全體","將雨水凝結成無數冰晶衝向敵方穿插而過。"
"1511","浪捲無量","0","0","IT_05","2|4","0","Y","","","","1","256","200","2","Y","0","0","0","0","0","","","","","0","0","效果：水系中高等傷害  對象：敵方全體","以道家的吐吶之氣與靈力的融合，引發出如大海般的巨浪襲捲敵方。"
"1512","凍霧術","23","1","IT_04","2|3|4","35","Y","","","","1","126","0","2","","8","1","0","0","0","","","","","0","0","效果：麻痺  對象：敵方單人","由自身發出奇異的寒氣，連霧氣都能凍結。"
"1513","冰石亂墜","27","0","IT_05","2|3|4","50","Y","","","","1","183","100","2","Y","0","0","0","0","0","","","","","0","0","效果：水系高等傷害  對象：敵方全體","喚出天空中雨雲的結晶，並幻化為巨大堅硬的冰石，以極高的速度下墜攻擊指定的目標。"
"1514","寒冰星雨","23","0","IT_05","2|3|4","40","Y","","","","1","142","150","2","","0","0","0","0","0","","","","","0","0","效果：水系中等傷害  對象：敵方單人","集天地間所有寒氣之大成，遂能擊出一詭異冰寒的光球。"
"1515","青龍雲屏","0","0","IT_05","2","280","Y","","","","1","451","3500","2","","0","0","0","0","0","","","","","0","0","效果：水系超高等傷害  對象：敵方單人","召喚東方聖獸─青龍，化成三道由地連天的強勁龍捲水柱，將敵人纏捲至空中，普通的妖孽絕無法承受一擊。"
"1516","海神潮","0","0","IT_05","4","250","Y","","","","1","456","2500","2","Y","0","0","0","0","0","","","","","0","0","效果：水系超高等傷害  對象：敵方全體","召喚海神附身發出洶湧無比的大浪潮襲捲敵人。"
"1517","轉風術","10","1","IT_05","1|3|4","18","Y","","","","1","32","50","3","","0","0","0","0","0","","","","","0","0","效果：風系低等傷害  對象：敵方單人","唸咒施展旋風氣流，以快速集中的風壓作為攻擊。"
"1518","浸沐春風","12","0","IT_13","1|3|4","10","Y","","","","3","85","0","3","","0","0","0","0","0","","","","","0","0","效果：回復 生命 60點  對象：我方單人","誠心乞求風之精靈，引起一陣陣清爽舒適的微風吹彿而過，沉浸在這痊癒之風內。"
"1519","御風術","18","0","IT_03","1|3|4","25","Y","","","","1","143","0","3","","5","0","0","1073741824","0","","","","","0","0","效果：增加 30％ 敏捷力  對象：我方單人","讓法術受予者能利用風的力量任意移動。"
"1520","空靈旋","20","0","IT_05","1|3|4","30","Y","","","","1","144","200","3","","0","0","0","0","0","","","","","0","0","效果：風系中等傷害  對象：敵方單人","將所有生靈的生命氣流化為一股有傷害力的氣旋。"
"1521","青風薪榮","24","0","IT_01","1|3|4","40","Y","","","","3","145","0","3","","0","0","32768","0","0","","","","","0","0","效果：解除瀕死狀態  對象：我方單人","在人死魂魄未飛散之前，可以借由風中之精的神奇力量復活。"
"1522","天風捲千鈞","26","0","IT_05","1|3|4","55","Y","","","","1","146","160","3","Y","0","0","0","0","0","","","","","0","0","效果：風系中高等傷害  對象：敵方全體","於大地上喚出一巨大的龍捲巨風將地面所有敵人一掃而盡。"
"1523","怒空摘星","0","0","IT_05","3","150","Y","","","","1","443","1000","3","Y","0","0","0","0","0","","","","","0","0","效果：風系高等傷害  對象：敵方全體","以強大的靈力操控令天地為之變色的狂風，其強大的力量好像連天上的星辰都要吹下了。"
"1524","白虎星降","0","0","IT_05","3","320","Y","","","","1","454","3500","3","Y","0","0","0","0","0","","","","","0","0","效果：風系超高等傷害  對象：敵方全體","召喚西方聖獸─白虎，白虎自身以高速旋轉化成一巨大的旋風之劍，再以迅雷不及掩耳的速度貫穿敵人身形。"
"1525","錮元入石","25","0","IT_04","1|2|3|4","30","Y","","","","1","279","0","4","","1000","4","0","0","0","","","","","0","0","效果：石化  對象：敵方單人","運用石精之力將生物的元靈封閉在岩石內。"
"1526","地龍鑽","0","0","IT_05|IT_28","","0","Y","","","","1","255","20","4","","0","0","0","0","0","","","","","0","0","效果：土系低等傷害  對象：敵方單人","將靈力貫注於地底的泥沙中，使原本柔軟且無殺傷力的污土化為堅硬的尖石從地底鑽出攻擊敵人。"
"1527","落石術","29","0","IT_05","1|4","40","Y","","","","1","184","300","4","","0","0","0","0","0","","","","","0","0","效果：土系中等傷害  對象：敵方單人","將巨石隔空移物至天上，再以飛快的速度相敵人砸下。"
"1528","石龜護甲","0","0","IT_03","1|4","35","Y","","","","1","333","0","4","","5","0","0","536870912","0","","","","","0","0","效果：增加 30％ 防禦力  對象：我方單人","把堅硬的礦石圍繞在身體周圍作為護甲。"
"1529","濤瀾動地","35","0","IT_05","1|4","50","Y","","","","1","277","380","4","Y","0","0","0","0","0","","","","","0","0","效果：土系中等傷害  對象：敵方全體","施法唸咒把地表裂開掩埋敵人。"
"1530","狂沙飛石","30","0","IT_05","1|4","65","Y","","","","1","278","500","4","","0","0","0","0","0","","","","","0","0","效果：土系中高等傷害  對象：敵方單人","利用法力暫時附與土沙生命，瘋狂的攻擊敵人。"
"1531","玄武現世","0","0","IT_05","4","200","Y","","","","1","455","2000","4","Y","0","0","0","0","0","","","","","0","0","效果：土系超高等傷害  對象：敵方全體","召喚北方聖獸─玄武，翻開大地消滅一切眼前的生物；靈力不夠強大的人便無法控制這無匹之力。"
"1532","亞特拉斯巨靈","0","0","IT_05","1|4","200","Y","","","","1","441","2000","4","Y","0","0","0","0","0","","","","","0","0","效果：土系超高等傷害  對象：敵方全體","喚出大地之神亞特拉斯，將所有妖魔邪靈完全清除。"
"1533","疾電術","7","1","IT_05","2|4","12","Y","","","","1","17","40","8","","0","0","0","0","0","","","","","0","0","效果：雷電系低等傷害  對象：敵方單人","擊出一小型的電擊球，擊中目標後隨即爆裂。"
"1534","電氣角鑽","15","0","IT_04","2|3","20","Y","","","","1","147","0","8","","5","1","0","0","0","","","","","0","0","效果：麻痺  對象：敵方單人","射出小而尖的透明電氣，被命中的人全身關節將無法動作。"
"1535","坎離雷電","32","0","IT_05","2|4","55","Y","","","","1","202","250","8","Y","0","0","0","0","0","","","","","0","0","效果：雷電系中等傷害  對象：敵方全體","將雷電依五行八卦之理，一一命中敵人。"
"1536","太陰神雷","0","0","IT_05","2","80","Y","","","","1","445","800","8","","0","0","0","0","0","","","","","0","0","效果：雷電系中高等傷害  對象：敵方單人","六儀四象內所衍生的神雷，一般都用來對付妖魔用的。"
"1537","天翔奔雷破","0","0","IT_05","2|3","70","Y","","","","1","335","500","8","Y","0","0","0","0","0","","","","","0","0","效果：雷電系中高等傷害  對象：敵方全體","從天空中落下無數的雷球，其中還挾帶著威力強大的電氣。"
"1538","天雷震八方","0","0","IT_05","2","150","Y","","","","1","448","1500","8","","0","0","0","0","0","","","","","0","0","效果：雷電系高等傷害  對象：敵方單人","無生無隱的天雷，只有在擊中目標的時候才會發出震撼的聲響。"
"1539","雲龍身四縱","0","0","IT_05","3","230","Y","","","","1","452","2500","8","","0","0","0","0","0","","","","","0","0","效果：雷電系超高等傷害  對象：敵方單人","“雷電降身”，中國古老的招雷法術，由施法者自身發出無數的龍氣。"
"1540","雷神動九天","0","0","IT_05","3","300","Y","","","","1","453","3000","8","Y","0","0","0","0","0","","","","","0","0","效果：雷電系超高等傷害  對象：敵方全體","呼叫雷神以浩瀚的天神雷降臨大地，消滅一切妖魔。不過沒一定的能力之前，就冒然召喚雷神，自身可是要付出相當的代價。"
"1541","天使之福音","10","0","IT_04","3|4","15","Y","","","","2","","0","0","","0","0","0","0","0","","","","","0","0","可驅離等級較我方低的怪物。","呼叫天使吟唱天詩，使神聖的福音圍繞著我方讓邪魔鬼怪不敢靠近。"
"1542","禁言封咒術","22","0","IT_04","3|4","30","Y","","","","1","148","0","6","","5","16","0","0","0","","","","","0","0","效果：封魔  對象：敵方單人","將一切魔力靈力皆封閉住；中術者有如啞巴般。"
"1543","聖光彈","18","0","IT_05","3|4","20","Y","","","","1","149","100","6","","0","0","0","0","0","","","","","0","0","效果：光系低等傷害  對象：敵方單人","以神聖之力，擊出的光球。"
"1544","聖火幻劍","32","0","IT_05","3|4","40","Y","","","","1","186","300","6","","0","0","0","0","0","","","","","0","0","效果：光系中等傷害  對象：敵方單人","發射出許多神聖的小光劍包圍敵人。"
"1545","霞雲罩身","28","0","IT_03","3|4","25","Y","","","","1","280","0","6","Y","0","0","0","0","0","","","","Y","0","0","效果：脫離戰鬥  對象：我方全體","從天外的一端發出的霞光祥雲將施法者帶至平和之地。"
"1546","仙音淨化","20","0","IT_05","3|4","35","Y","","","","1","281","200","6","Y","0","0","0","0","0","","","","","0","0","效果：光系低等傷害  對象：敵方全體","從天而來的美妙音樂，不過凡心有魔性的生物聽到皆當場死亡。"
"1547","九龍化傷術","33","2","IT_13","3|4","40","Y","","","","3","282","0","6","","0","0","0","0","0","","","","","0","0","效果：回復 生命 1000點  對象：我方單人","引天外九龍的神奇之力，將身上的傷勢一一的恢復。"
"1548","元體靈滅","0","0","IT_05","3|4","50","Y","","","","1","334","500","6","","0","0","0","0","0","","","","","0","0","效果：光系中高等傷害  對象：敵方單人","利用高速的靈體衝擊，所產生它次元的強大破壞力。"
"1549","韋馱伏魔","0","0","IT_05","3|4","80","Y","","","","1","393","1000","6","Y","0","0","0","0","0","","","","","0","0","效果：光系高等傷害  對象：敵方全體","召喚守護神──韋馱，並發其天神奇力攻擊敵人。"
"1550","無相如來","0","0","IT_05","4","300","Y","","","","1","457","3000","6","Y","0","0","0","0","0","","","","","0","0","效果：光系超高等傷害  對象：敵方全體","將如來佛的無邊佛法，全部發揮在天地之間淨化一切生物。"
"1551","閻火術","9","1","IT_05|IT_28","2","20","Y","","","","1","19","65","7","","0","0","0","0","0","","","","","0","0","效果：暗系低等傷害  對象：敵方單人","同樣的火燄卻發出陰森的寒氣；被燃燒之人全身會奇寒無比。"
"1552","食魂咒","15","1","IT_04|IT_28","2","18","Y","","","","1","59","0","7","","5","64","0","0","0","","","","","0","0","效果：驚嚇  對象：敵方單人","讓敵人的魂魄暫時脫離，使其無法連續攻擊。"
"1553","五毒咒","0","0","IT_05","2","65","Y","","","","1","366","300","7","Y","6","4096","0","0","0","","","","","0","0","效果：暗系中等傷害  對象：敵方全體","驅使五毒攻擊敵人，五毒分為蜈蚣、毒蠍、蜘蛛、蛤蟆、蛇。"
"1554","迷意波","0","0","IT_04","2","45","Y","","","","1","365","0","10","","5","32","0","0","0","","","","","0","0","效果：瘋狂  對象：敵方單人","發出怪異的光波迷亂敵人，使其失去自我控制的能力。"
"1555","煉獄陰火","26","0","IT_05","2","40","Y","","","","1","106","130","7","Y","0","0","0","0","0","","","","","0","0","效果：暗系中等傷害  對象：敵方全體","借引地獄燃燒鬼魂的火燄，夾雜冷熱相間的奇異陰火攻擊敵人。"
"1556","衰竭術","29","1","IT_04","2","45","Y","","","","1","185","0","7","","5","512","0","0","0","","","","","0","0","效果：退化  對象：敵方單人","施法將生物的生命能量漸漸吸收殆盡。"
"1557","依魔行意","0","0","IT_04","2","40","Y","","","","1","392","0","7","","5","256","0","0","0","","","","","0","0","效果：寄生  對象：敵方單人","呼叫黑暗的寄生獸附著敵人的意識，藉而使敵人內鬨。"
"1558","紫氣闇龍","0","0","IT_05","2","100","Y","","","","1","447","1000","7","","0","0","0","0","0","","","","","0","0","效果：暗系中高等傷害  對象：敵方單人","當黑暗靈力達到一定的程度時，便能自由控制暗黑蛟龍攻擊人類。"
"1559","十邪散魂","0","0","IT_05","2","300","Y","","","","1","450","3000","7","Y","0","0","0","0","0","","","","","0","0","效果：暗系超高等傷害  對象：敵方全體","邪惡的陰氣隴罩大地，呼引所有的邪靈攻擊敵人。"
"1560","冥流潺入","0","0","IT_05","2","200","Y","","","","1","449","2000","7","","0","0","0","0","0","","","","","0","0","效果：暗系高等傷害  對象：敵方單人","將陰邪的氣流導進生物的體內，再一點一滴的慢慢爆出；是相當厲害且殘忍的法術。"
"1561","土地神念法","0","0","IT_04","1|2|3|4","1","Y","","","","2","250","0","10","","0","0","0","0","0","","","","","0","0","脫離迷宮","喚出當地的土地神幫忙隊伍引導出路。"
"1562","天使之眼","0","0","","","0","","","","","0","","0","0","","0","0","0","0","0","","","","","0","0","","運用天界的神力觀看大地，能使敵人無所遁形。"
"1563","萬蠱纏身","0","0","IT_04","2","75","Y","","","","1","446","400","10","","6","4096","0","0","0","","","","","0","0","效果：中毒傷害  對象：敵方單人","控制許多毒蠱攻擊敵人；並使毒性慢慢的入侵敵人的體內。"
"1564","炙炎旋流","0","0","IT_03","1|4","40","Y","","","","1","359","0","10","","5","0","0","0","1","","","","","0","0","效果：增加5回合50％火系抗力 對象：我方單人","寄出火燄魔法陣，發出火燄旋風包圍保護著人。"
"1565","縮地術","0","0","","","0","","","","","0","","0","0","","0","0","0","0","0","","","","","0","0","","在地上做一起點標記；等一經施法後便能一瞬間回至起點。"
"1566","乘龍念法","0","0","IT_04","1|2|3|4","1","Y","","","","2","251","0","10","","0","0","0","0","0","","","","","0","0","乘天外方界之龍，來往各地","乘坐雲龍到達曾經去過的地點。"
"1567","寒雪氣罩","0","0","IT_03","2|3","40","Y","","","","1","360","0","10","","5","0","0","0","2","","","","","0","0","效果：增加5回合50％水系抗力 對象：我方單人","引來奇寒的氣流罩住全身，以抵抗熱氣的攻擊。"
"1568","火眼金睛","0","0","IT_04","1|2|3|4","35","Y","","","","1","363","0","10","","5","0","0","0","0","","","","","0","0","觀看敵方資料","一經施法便能短暫開啟天眼，藉此觀看敵人的詳細資料。"
"1569","三藏淨身咒","0","0","IT_03","3|4","35","Y","","","","1","341","0","10","","5","0","0","0","5","","","","","0","0","效果：增加5回合50％毒系抗力 對象：我方單人","運用高超的佛法不斷潔淨身心，使毒氣只能環繞在外不能侵入。"
"1570","佛光衝宵","23","0","IT_03","3|4","20","Y","","","","1","286","0","10","","5","0","0","0","7","","","","","0","0","效果：增加5回合50％暗系抗力 對象：我方單人","唸咒誦經以虔誠之心乞求佛法的加持，隨之由天直射至地的萬丈豪光；驅散所有妖邪之氣。"
"1571","妖魔滅道","0","0","IT_03","2","40","Y","","","","1","361","0","10","","5","0","0","0","6","","","","","0","0","效果：增加5回合50％光系抗力 對象：我方單人","讓無數的邪靈環繞著我方，並抵擋所有神聖的攻擊。"
"1572","神入靈殼","0","0","IT_03","3|4","50","Y","","","","1","362","0","10","","5","0","0","0","9","","","","","0","0","效果：增加5回合50％物系抗力 對象：我方單人","請神降臨我方體內，幫助抵檔物理性的攻擊。"
"1573","借物代形","0","0","IT_03","1|2|3|4","100","Y","","","","1","364","0","10","","5","0","0","67108864","0","","","","","0","0","效果：完全抵抗敵方攻擊五次 對象：我方單人","利用五行之物代替被攻擊，可惜只能承受2次的攻擊。"
"1574","氣療術","13","0","IT_13","1|2|3|4","15","Y","","","","3","14","0","0","","0","0","0","0","0","","","","","0","0","效果：回復 生命 100點  對象：我方單人","透過靈力的轉換回復些許的生命力。"
"1575","合精法","18","0","IT_13","1|2|3|4","18","Y","","","","3","95","0","0","","0","0","0","0","0","","","","","0","0","效果：回復 體力 100點  對象：我方單人","閉住氣息，運用自身的靈力將心神合一；如此漸漸的讓身體自行回附失去的體力。"
"1576","神恩廣澤","23","0","IT_13","1|3|4","35","Y","","","","3","139","0","0","Y","0","0","0","0","0","","","","","0","0","效果：回復 生命 200點  對象：我方全體","祈求諸方天神治愈大地的生物，由天而降的祥光無論是何種生物都能受到回復。"
"1577","喚魂咒","25","0","IT_01|IT_13","1|2|3|4","70","Y","","","","3","140","0","0","","0","0","32768","0","0","","","","","0","0","效果：解除瀕死狀態  對象：我方單人","將將死之人的魂魄喚回，不過當靈魂回體後還是相當虛弱的。"
"1578","神癒咒","25","0","IT_13","1|2|3|4","30","Y","","","","3","14","0","0","","0","0","0","0","0","","","","","0","0","效果：回復 生命 500點  對象：我方單人","高級的術士者能將靈力運用高階的轉化大法，如神力般的將其轉變為生命。"
"1579","舒筋活脈","15","0","IT_13","1|2|3|4","120","Y","","","","3","283","0","0","Y","0","0","0","0","0","","","","","0","0","效果：回復 體力 200點  對象：我方全體","將每人體內的特殊機能調理至正常，是相當不錯的回復法術。"
"1580","靈息","18","0","IT_13","1|2|3|4","100","","Y","","","3","14","0","0","","0","0","0","0","0","","","","","0","0","效果：回復 靈力 100點並消耗 體力 100點","以道家奇特的吐吶方法將精神力一點一滴的補回來。"
"1581","順脈心法","0","0","IT_13","1|4","100","Y","","","","3","14","0","0","","0","0","0","0","0","","","","","0","0","效果：回復 體力 300點  對象：我方單人","運起內功心法調理體內筋脈；使身體的疲勞完全的消除。"
"1582","風砂甘霖術","0","0","IT_13","1|2|3|4","80","Y","","","","3","367","0","0","Y","0","0","0","0","0","","","","","0","0","效果：回復 生命 1000點  對象：我方全體","一種高超的回復法術，不但利己也助人；不過所消號的靈力可不少。"
"1583","八方歸元","0","0","IT_01|IT_13","3|4","100","Y","","","","1","444","0","0","Y","0","0","32768","0","0","","","","","0","0","效果：解除瀕死狀態  對象：我方全體","聚集八方自然的靈力，並轉變為生物所需的生命力，但只限於戰鬥時使用。"
"1584","仙靈息","0","0","IT_13","3","250","","Y","","","3","14","0","0","","0","0","0","0","0","","","","","0","0","效果：回復 靈力 200點並消耗 體力 250點","更深奧的吐吶方法比靈息回復的更多。"
"1585","逆轉丹行術","0","0","IT_13","1|4","150","Y","","","","3","14","0","0","","0","0","0","0","0","","","","","0","0","效果：回復 體力 500點  對象：我方單人","能將失去的體力逆轉回來，一種很難領悟的法術。"
"1586","浴火重生咒","0","0","IT_01|IT_13","2","150","Y","","","","3","140","0","0","","0","0","32768","0","0","","","","","0","0","效果：解除瀕死狀態  對象：我方單人","借助不死火鳥的神祕力量給予將瀕死的生物重拾生命力。"
"1587","道儀霞光","0","0","IT_13","4","400","","Y","","","2","283","0","0","Y","0","0","0","0","0","","","","","0","0","效果：回復全體靈力 250點並消耗 體力 400點","施法者本身發出萬丈豪光包圍住隊伍，讓伙伴精氣一一的恢復，但只限於平時使用。"
"1588","八門定星術","0","0","IT_13","3","130","Y","","","","3","14","0","0","","0","0","0","0","0","","","","","0","0","效果：回復 生命 5000點  對象：我方單人","運用奇門遁甲之力將本命星的力量完全發揮出來，以保生命力不減。"
"1589","殘燭引月","0","0","IT_13","4","500","","Y","","","3","14","0","0","","0","0","0","0","0","","","","","0","0","效果：回復 靈力 400點並消耗 體力 500點","祈求月神將隊員的體力大量的補回。"
"1590","清風咒","19","0","IT_01","2|4","25","Y","","","","1","96","0","11","","0","0","4200","0","0","","","","","0","0","治療中毒、昏睡、瘋狂、驚嚇 對象：我方單人","藉由大地之精與風之精靈的力量，祭出一陣奇特的治癒之漩流。"
"1591","撥雲見日","29","0","IT_01","1|2|3|4","20","Y","","","","1","187","0","11","","0","0","128","0","0","","","","","0","0","治療盲目 狀態  對象：我方單人","解除盲目的法術。"
"1592","蝕岩還身","0","0","IT_01","4","25","Y","","","","1","47","0","11","","0","0","4","0","0","","","","","0","0","治療石化 狀態  對象：我方單人","解除石化的法術。"
"1593","祭柳歸靈","26","0","IT_01","1|2|3|4","20","Y","","","","1","284","0","11","","0","0","16","0","0","","","","","0","0","治療封魔 狀態  對象：我方單人","解除封魔的法術。"
"1594","離僵赤金","0","0","IT_01","1|2|3|4","25","Y","","","","1","439","0","11","","0","0","259","0","0","","","","","0","0","治療痲痺、定身、寄身 對象：我方單人","解除痲痺、定身、寄身等狀況的法術。"
"1595","化枯轉榮","0","0","IT_01","3","25","Y","","","","1","311","0","11","","0","0","512","0","0","","","","","0","0","治療退化 狀態  對象：我方單人","解除退化的法術。"
"1596","騰蛇棄鱗","0","0","IT_01|IT_13","3","50","","Y","","","1","22","0","11","","0","0","5119","0","0","","","","","0","0","解除所有狀態  對象：我方單人","能解除所有的狀況，使其回至正常；是最終的治療法術。"
"1597","騰蛇棄鱗","0","0","","","0","","","","","0","","0","0","","0","0","0","0","0","","","","","0","0","","能解除所有的狀況，使其回至正常；是最終的治療法術。"
"1598","騰蛇棄鱗","0","0","","","0","","","","","0","","0","0","","0","0","0","0","0","","","","","0","0","","能解除所有的狀況，使其回至正常；是最終的治療法術。"
"1599","騰蛇棄鱗","0","0","","","0","","","","","0","","0","0","","0","0","0","0","0","","","","","0","0","","能解除所有的狀況，使其回至正常；是最終的治療法術。"
"1600","騰蛇棄鱗","0","0","","","0","","","","","0","","0","0","","0","0","0","0","0","","","","","0","0","","能解除所有的狀況，使其回至正常；是最終的治療法術。"
