"item_id","name","current_menu_sources","level","hp","atk","def","spd","wis","dodge_rate","basic_attack_effect_id","skill_ids","skill_counts","skill_rate","special_effect_ids","special_effect_counts","special_effect_rate","critical_skill_ids","critical_skill_counts","existing_living_card","story_or_special_flag","not_in_book","discard","raw_data_caution"
"74","撒旦","特殊／首領","70","30000","999","999","70","200","6","122","","","0","","","0","","","","Y","Y","",""
"46","蚩尤","神魔異事錄|特殊／首領","80","30000","850","200","90","180","5","122","1712|1716|1717","8|15|10","6","438|437","12|10","5","1714|1714","2|1","","Y","","",""
"59","牛魔王","神魔異事錄|特殊／首領","80","30000","800","444","180","300","6","141","1719|1718|1720","18|18|13","7","464|468","20|15","8","1588|1588","3|3","","Y","","",""
"75","撒旦賽特","神魔異事錄|特殊／首領","60","30000","750","166","92","200","5","412","1710|1710","5|5","6","413|414","8|8","5","","","","Y","","",""
"28","撒旦","神魔異事錄|特殊／首領","73","30000","600","166","140","200","4","463","1711|1712|1713","6|6|6","5","416|417","8|10","6","1714","1","","Y","","",""
"378","鬥戰聖佛","神魔異事錄|特殊／首領","57","20000","630","160","66","170","4","122","1705|1704|1705","8|5|8","5","","","0","","","","Y","","",""
"32","雨丹子","神魔異事錄|特殊／首領","60","15000","580","116","64","180","4","346","1696|1696","8|6","5","356|356","3|2","4","1697|1697","2|1","","Y","","",""
"51","羯羊妖機","神魔異事錄|特殊／首領","52","15000","500","148","65","50","4","131","1693|1693","7|4","6","339","10","5","","","","Y","","",""
"72","康那里士","神魔異事錄|特殊／首領","54","12500","540","80","62","150","4","257","1693|1684|1552","4|3|3","5","","","0","1697|1683","2|1","","Y","","",""
"53","雨丹子五鬼","神魔異事錄|特殊／首領","55","12000","510","148","60","200","4","346","1696|1696|1696","4|4|4","5","348","4","4","","","","Y","","",""
"38","鎮邪","特殊／首領","58","10000","600","100","80","180","4","1","","","5","","","4","","","","Y","Y","",""
"33","張客","特殊／首領","56","10000","550","130","60","200","4","379","","","5","","","4","","","","Y","Y","",""
"2202","NAME1032","特殊／首領","50","10000","550","66","72","80","5","412","","","6","","","5","","","","Y","Y","",""
"438","蔡魔王","特殊／首領","99","10000","100","100","40","0","0","1","1676|1668","2|2","1","1683","5","3","","","","","Y","",""
"2203","山鬼","特殊／首領","35","9999","1","999","46","80","4","3","","","0","252","99","10","","","Y","","Y","",""
"73","撒旦麥爾斯","神魔異事錄|特殊／首領","55","8600","500","113","58","200","3","1","1688|1688","2|3","6","390|391","3|2","5","1683|1697","1|2","","Y","","",""
"379","鬥戰聖佛分身","特殊／首領","50","8000","580","140","60","160","0","122","","","0","","","0","","","","","Y","",""
"39","王思月","特殊／首領","57","8000","560","122","62","130","4","354","","","0","355|355","6|6","5","","","","Y","Y","",""
"52","夜叉悟緣","特殊／首領","50","8000","480","103","62","120","4","258","","","0","336|337","6|6","5","","","","Y","Y","",""
"48","機關三魔獸","神魔異事錄|特殊／首領","38","6000","240","90","48","10","4","","1681|1681|1681","3|2|2","4","180|180","3|3","5","","","","Y","","",""
"381","黃八","特殊／首領","45","5800","360","158","55","180","3","313","1692","5","6","325|325","3|3","4","","","","Y","Y","",""
"16","蜃樓王","神魔異事錄|特殊／首領","50","5000","300","68","56","130","3","204","1685|1686|1686","6|3|2","4","205|205","4|3","5","1578|1578","1|1","","Y","","",""
"12","恐懼之王","神魔異事錄|特殊／首領","50","5000","163","73","54","120","4","159","1680|1680|1680","2|2|1","4","160","5","5","","","","Y","","",""
"68","撒旦麥爾斯","特殊／首領","50","4600","380","113","48","200","3","1","1688|1688","2|3","5","262|263","3|2","4","1683|1683","2|1","","Y","Y","",""
"70","蜃樓王","神魔異事錄|特殊／首領","50","4000","300","68","43","130","3","276","1685|1686|1686","5|3|1","4","205|205","3|2","3","1578|1578","1|1","","Y","","",""
"178","神龍","神魔異事錄","56","3800","580","140","62","160","5","406","","","0","429|296","8|4","5","","","Y","","","",""
"69","撒旦麥爾斯","特殊／首領","50","3600","380","113","45","200","3","1","1687","1","0","264","1","0","","","","Y","Y","",""
"179","鳳凰","神魔異事錄","58","3500","600","160","60","120","4","400","1706|1706","6|6","5","","","0","","","Y","","","",""
"71","木鐵人","神魔異事錄|特殊／首領","50","3500","360","133","58","0","4","132","1689|1689","4|3","5","303","8","4","","","","Y","","",""
"383","蜃樓石頭妖","特殊／首領","45","3500","350","150","40","40","2","1","","","0","206|206","3|2","3","","","","Y","Y","",""
