"enemy_id","card_id","static_card_required","static_ordinal","name","race_id","level","hp","atk","def","story_or_special","not_in_book","rarity_tier","rarity_label","guardian_power_tier","hp_multiplier","atk_multiplier","def_multiplier","guardian_sp_cost","native_tier_median_sp_cost","balance_note"
"2","10001","Y","1","妮可","10","3","50","57","38","","Y","contract","契約","common","1.18","1.15","1.15","10","135","收妖稀有度為契約，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"3","10002","Y","2","薇達","23","32","800","250","92","Y","Y","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"4","10003","Y","3","麥爾斯","23","12","160","42","25","Y","Y","contract","契約","common","1.18","1.15","1.15","10","135","收妖稀有度為契約，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"6","10004","Y","4","姆斯比爾","1","40","1800","115","65","Y","","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"7","10005","Y","5","康那里士","23","35","1200","94","54","Y","","contract","契約","veteran","1.18","1.15","1.15","30","135","收妖稀有度為契約，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"10","10006","Y","6","慧彥","23","38","500","230","130","Y","Y","contract","契約","veteran","1.18","1.15","1.15","30","135","收妖稀有度為契約，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"12","10007","Y","7","恐懼之王","1","50","5000","163","73","Y","","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"13","10008","Y","8","藍魔神","1","32","2000","120","60","Y","","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"16","10009","Y","9","蜃樓王","8","50","5000","300","68","Y","","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"18","10010","Y","10","鬼猴","8","35","3500","154","64","Y","","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
