id,name,kind,entry_id,slot,action_name,effect_id,attribute,points,wide,add_hp,add_mp,add_sp,initial_count,summon_sp,source_hp,source_atk,source_def,source_spd,source_wis,shop_leaf_count
47,蟹精魔機,basic,433,,,433,thunder,0,False,0,0,0,,350,2500,530,180,55,120,
47,蟹精魔機,special,434,1,,434,thunder,800,False,0,0,0,5,350,2500,530,180,55,120,
47,蟹精魔機,special,434,2,,434,thunder,800,False,0,0,0,5,350,2500,530,180,55,120,
49,羯忍幻機,basic,122,,,122,physical,0,False,0,0,0,,300,1800,500,162,58,100,
49,羯忍幻機,special,397,1,,397,thunder,700,False,0,0,0,5,300,1800,500,162,58,100,
49,羯忍幻機,special,398,2,,398,physical,600,False,0,0,0,8,300,1800,500,162,58,100,
101,黏怪,basic,1,,,1,physical,0,False,0,0,0,,8,6,19,18,16,10,2
101,黏怪,special,23,1,,23,dark,0,False,0,0,0,3,8,6,19,18,16,10,2
118,吸血殭屍,basic,4,,,4,physical,0,False,0,0,0,,16,60,60,45,35,30,4
124,炎靈子,basic,350,,,350,fire,0,False,0,0,0,,180,630,380,80,58,135,5
124,炎靈子,special,424,1,,424,fire,700,False,0,0,0,5,180,630,380,80,58,135,5
124,炎靈子,special,423,2,,423,fire,600,False,0,0,0,4,180,630,380,80,58,135,5
125,吸血鬼王,basic,27,,,27,physical,0,False,0,0,0,,27,100,87,40,43,50,5
125,吸血鬼王,skill,1551,1,閻火術,19,dark,65,False,0,0,0,3,27,100,87,40,43,50,5
125,吸血鬼王,special,42,1,,42,physical,95,False,0,0,0,4,27,100,87,40,43,50,5
126,邪靈,basic,134,,,134,physical,0,False,0,0,0,,20,30,83,85,40,60,2
127,石骨魚,basic,1,,,1,physical,0,False,0,0,0,,15,30,45,30,26,18,10
128,石骨飛魚,basic,134,,,134,physical,0,False,0,0,0,,18,50,58,43,40,18,9
129,阿加希歐,basic,5,,,5,physical,0,False,0,0,0,,25,200,147,64,46,120,2
129,阿加希歐,skill,1662,1,聚雷光,28,thunder,30,False,0,0,0,5,25,200,147,64,46,120,2
130,獢,basic,69,,,69,physical,0,False,0,0,0,,13,120,80,43,42,15,8
130,獢,special,68,1,,68,fire,23,True,0,0,0,3,13,120,80,43,42,15,8
131,吸血鬼,basic,27,,,27,physical,0,False,0,0,0,,14,43,52,32,33,30,4
131,吸血鬼,special,31,1,,31,physical,60,False,0,0,0,5,14,43,52,32,33,30,4
132,侏儒,basic,34,,,34,physical,0,False,0,0,0,,11,18,31,25,23,25,3
132,侏儒,special,18,1,,18,physical,25,False,0,0,0,5,11,18,31,25,23,25,3
133,亞格瑞斯,basic,41,,,41,physical,0,False,0,0,0,,28,125,100,56,36,50,8
134,半人馬,basic,40,,,40,physical,0,False,0,0,0,,30,110,90,53,43,70,3
134,半人馬,skill,1665,1,冰雹術,46,ice,40,True,0,0,0,3,30,110,90,53,43,70,3
135,美杜莎,basic,135,,,135,physical,0,False,0,0,0,,28,100,80,57,45,50,4
135,美杜莎,special,43,1,,43,dark,0,False,0,0,0,4,28,100,80,57,45,50,4
136,格萊艾,basic,137,,,137,physical,0,False,0,0,0,,26,150,80,38,48,90,2
136,格萊艾,special,44,1,,44,dark,0,False,0,0,0,3,26,150,80,38,48,90,2
137,凱貝羅斯,basic,4,,,4,physical,0,False,0,0,0,,30,130,90,46,43,56,7
137,凱貝羅斯,special,45,1,,45,fire,110,False,0,0,0,4,30,130,90,46,43,56,7
138,寒蛙,basic,133,,,133,physical,0,False,0,0,0,,30,140,111,65,43,70,9
138,寒蛙,special,102,1,,102,ice,125,False,0,0,0,3,30,140,111,65,43,70,9
139,瓶女,basic,98,,,98,physical,0,False,0,0,0,,35,180,102,55,45,100,2
139,瓶女,special,99,1,,99,ice,135,False,0,0,0,4,35,180,102,55,45,100,2
140,妖貓,basic,90,,,90,physical,0,False,0,0,0,,33,90,93,42,53,90,4
140,妖貓,skill,1670,1,纏絲氣,92,dark,70,False,0,0,0,2,33,90,93,42,53,90,4
141,牛頭魚,basic,131,,,131,physical,0,False,0,0,0,,40,160,113,58,48,65,
141,牛頭魚,skill,1669,1,狂浪襲,91,ice,60,True,0,0,0,3,40,160,113,58,48,65,
142,雪球怪,basic,107,,,107,physical,0,False,0,0,0,,32,100,116,89,40,80,2
142,雪球怪,skill,1679,1,凍霧術,103,ice,0,False,0,0,0,2,32,100,116,89,40,80,2
143,溫蒂妮,basic,100,,,100,ice,0,False,0,0,0,,45,155,110,60,45,110,2
143,溫蒂妮,skill,1671,1,海靈彈,101,ice,80,False,0,0,0,5,45,155,110,60,45,110,2
144,竹妖,basic,287,,,287,physical,0,False,0,0,0,,120,420,320,103,60,80,3
144,竹妖,special,288,1,,288,earth,100,False,0,0,0,3,120,420,320,103,60,80,3
144,竹妖,special,288,2,,288,earth,100,False,0,0,0,2,120,420,320,103,60,80,3
145,魍魎,basic,3,,,3,physical,0,False,0,0,0,,145,450,360,120,48,100,3
145,魍魎,special,290,1,,290,physical,450,False,0,0,0,5,145,450,360,120,48,100,3
145,魍魎,special,312,2,,312,poison,120,False,0,0,0,3,145,450,360,120,48,100,3
146,妖陀螺鬼,basic,291,,,291,physical,0,False,0,0,0,,160,500,400,130,56,140,2
146,妖陀螺鬼,special,292,1,,292,physical,280,False,0,0,0,6,160,500,400,130,56,140,2
147,水仙,basic,253,,,253,physical,0,False,0,0,0,,90,330,310,90,48,100,2
147,水仙,skill,1511,1,浪捲無量,256,ice,200,True,0,0,0,2,90,330,310,90,48,100,2
147,水仙,skill,1511,2,浪捲無量,256,ice,200,True,0,0,0,2,90,330,310,90,48,100,2
148,七仙女,basic,349,,,349,light,0,False,0,0,0,,220,1600,490,100,62,180,5
148,七仙女,skill,1698,1,移魂仙樂,380,light,550,False,0,0,0,3,220,1600,490,100,62,180,5
148,七仙女,skill,1698,2,移魂仙樂,380,light,550,False,0,0,0,3,220,1600,490,100,62,180,5
149,九天玄女,basic,399,,,399,physical,0,False,0,0,0,,280,2200,500,96,65,180,6
149,九天玄女,skill,1700,1,日輪烈焰,382,fire,320,True,0,0,0,8,280,2200,500,96,65,180,6
149,九天玄女,skill,1698,2,移魂仙樂,380,light,550,False,0,0,0,5,280,2200,500,96,65,180,6
149,九天玄女,heal,1578,1,神癒咒,14,none,0,False,500,0,0,2,280,2200,500,96,65,180,6
149,九天玄女,heal,1578,2,神癒咒,14,none,0,False,500,0,0,1,280,2200,500,96,65,180,6
150,嫦娥,basic,358,,,358,ice,0,False,0,0,0,,260,1500,510,155,62,180,5
150,嫦娥,skill,1548,1,元體靈滅,334,light,500,False,0,0,0,6,260,1500,510,155,62,180,5
150,嫦娥,skill,1542,2,禁言封咒術,148,light,0,False,0,0,0,4,260,1500,510,155,62,180,5
150,嫦娥,skill,1548,3,元體靈滅,334,light,500,False,0,0,0,3,260,1500,510,155,62,180,5
151,瓊霜,basic,194,,,194,ice,0,False,0,0,0,,100,500,245,100,45,120,2
151,瓊霜,skill,1682,1,滅靈光環,195,light,300,False,0,0,0,2,100,500,245,100,45,120,2
151,瓊霜,skill,1682,2,滅靈光環,195,light,300,False,0,0,0,2,100,500,245,100,45,120,2
152,瑪特女神,basic,0,,,0,physical,0,False,0,0,0,,185,680,400,150,55,160,4
152,瑪特女神,special,425,1,,425,physical,400,False,0,0,0,5,185,680,400,150,55,160,4
152,瑪特女神,special,426,2,,426,light,700,False,0,0,0,7,185,680,400,150,55,160,4
153,瓦雀,basic,120,,,120,light,0,False,0,0,0,,50,200,137,90,40,120,4
153,瓦雀,skill,1676,1,幻光聖劍,121,light,120,False,0,0,0,3,50,200,137,90,40,120,4
153,瓦雀,heal,1574,1,氣療術,14,none,0,False,100,0,0,2,50,200,137,90,40,120,4
154,上元夫人,basic,260,,,260,physical,0,False,0,0,0,,90,600,360,110,50,130,4
154,上元夫人,heal,1578,1,神癒咒,14,none,0,False,500,0,0,2,90,600,360,110,50,130,4
154,上元夫人,heal,1578,2,神癒咒,14,none,0,False,500,0,0,2,90,600,360,110,50,130,4
154,上元夫人,special,261,1,,261,physical,400,False,0,0,0,4,90,600,360,110,50,130,4
155,蠶女,basic,307,,,307,physical,0,False,0,0,0,,175,800,475,156,62,120,3
155,蠶女,skill,1694,1,風捲殘雲,343,wind,600,True,0,0,0,5,175,800,475,156,62,120,3
155,蠶女,skill,1694,2,風捲殘雲,343,wind,600,True,0,0,0,5,175,800,475,156,62,120,3
156,女夷,basic,386,,,386,wind,0,False,0,0,0,,180,1430,460,98,64,138,3
156,女夷,skill,1699,1,除魔靈鼓,381,light,400,False,0,0,0,4,180,1430,460,98,64,138,3
156,女夷,skill,1699,2,除魔靈鼓,381,light,400,False,0,0,0,4,180,1430,460,98,64,138,3
157,女夷22,basic,386,,,386,wind,0,False,0,0,0,,180,1430,460,98,64,138,
157,女夷22,skill,1699,1,除魔靈鼓,381,light,400,False,0,0,0,4,180,1430,460,98,64,138,
157,女夷22,skill,1699,2,除魔靈鼓,381,light,400,False,0,0,0,4,180,1430,460,98,64,138,
158,娥皇,basic,153,,,153,physical,0,False,0,0,0,,240,1700,503,108,60,160,5
158,娥皇,skill,1700,1,日輪烈焰,382,fire,320,True,0,0,0,5,240,1700,503,108,60,160,5
158,娥皇,skill,1686,2,封靈滅法,208,auxiliary,0,False,0,0,0,3,240,1700,503,108,60,160,5
159,女英,basic,387,,,387,ice,0,False,0,0,0,,190,1650,495,115,64,160,4
159,女英,skill,1701,1,殘月鎖漪,383,ice,400,True,0,0,0,6,190,1650,495,115,64,160,4
159,女英,skill,1701,2,殘月鎖漪,383,ice,400,True,0,0,0,3,190,1650,495,115,64,160,4
160,席娜,basic,120,,,120,light,0,False,0,0,0,,70,350,200,75,46,120,8
160,席娜,heal,1574,1,氣療術,14,none,0,False,100,0,0,1,70,350,200,75,46,120,8
160,席娜,heal,1574,2,氣療術,14,none,0,False,100,0,0,1,70,350,200,75,46,120,8
160,席娜,special,193,1,,193,dark,280,False,0,0,0,2,70,350,200,75,46,120,8
160,席娜,special,193,2,,193,dark,280,False,0,0,0,2,70,350,200,75,46,120,8
161,亞坦,basic,122,,,122,physical,0,False,0,0,0,,52,220,150,93,43,120,8
161,亞坦,skill,1506,1,熾炎波,105,fire,80,True,0,0,0,3,52,220,150,93,43,120,8
161,亞坦,skill,1677,2,天降雷火,123,thunder,150,False,0,0,0,2,52,220,150,93,43,120,8
162,蝠妖,basic,138,,,138,physical,0,False,0,0,0,,38,160,140,70,42,80,3
162,蝠妖,skill,1552,1,食魂咒,59,dark,0,False,0,0,0,4,38,160,140,70,42,80,3
163,朱蛤獸,basic,132,,,132,physical,0,False,0,0,0,,45,180,157,79,38,100,7
163,朱蛤獸,skill,1670,1,纏絲氣,92,dark,70,False,0,0,0,4,45,180,157,79,38,100,7
164,神燈巨人,basic,119,,,119,physical,0,False,0,0,0,,60,300,170,88,37,160,2
164,神燈巨人,skill,1678,1,風靈之手,124,wind,80,True,0,0,0,3,60,300,170,88,37,160,2
164,神燈巨人,heal,1518,1,浸沐春風,85,wind,0,False,60,0,0,1,60,300,170,88,37,160,2
164,神燈巨人,heal,1518,2,浸沐春風,85,wind,0,False,60,0,0,1,60,300,170,88,37,160,2
165,色烈芬,basic,0,,,0,physical,0,False,0,0,0,,215,2000,580,122,60,180,5
165,色烈芬,special,427,1,,427,light,600,True,0,0,0,6,215,2000,580,122,60,180,5
165,色烈芬,special,427,2,,427,light,600,True,0,0,0,3,215,2000,580,122,60,180,5
166,藍人,basic,97,,,97,ice,10,False,0,0,0,,35,120,110,72,40,52,2
166,藍人,skill,1675,1,冰霜波,118,ice,70,False,0,0,0,3,35,120,110,72,40,52,2
167,戰死屍鬼,basic,122,,,122,physical,0,False,0,0,0,,188,1300,420,134,62,100,5
167,戰死屍鬼,special,352,1,,352,dark,500,False,0,0,0,4,188,1300,420,134,62,100,5
167,戰死屍鬼,special,352,2,,352,dark,500,False,0,0,0,4,188,1300,420,134,62,100,5
170,殭屍,basic,1,,,1,physical,0,False,0,0,0,,10,16,24,18,16,10,4
171,幽靈,basic,133,,,133,physical,0,False,0,0,0,,11,18,30,12,30,15,3
172,阿普洛迪,basic,111,,,111,physical,0,False,0,0,0,,260,2000,570,166,64,180,5
172,阿普洛迪,special,428,1,,428,light,1200,False,0,0,0,8,260,2000,570,166,64,180,5
172,阿普洛迪,special,428,2,,428,light,1200,False,0,0,0,5,260,2000,570,166,64,180,5
173,阿拔東,basic,254,,,254,dark,10,False,0,0,0,,105,480,300,88,50,150,8
173,阿拔東,skill,1526,1,地龍鑽,255,earth,20,False,0,0,0,2,105,480,300,88,50,150,8
173,阿拔東,skill,1526,2,地龍鑽,255,earth,20,False,0,0,0,1,105,480,300,88,50,150,8
173,阿拔東,heal,1574,1,氣療術,14,none,0,False,100,0,0,1,105,480,300,88,50,150,8
173,阿拔東,heal,1574,2,氣療術,14,none,0,False,100,0,0,1,105,480,300,88,50,150,8
174,阿高司,basic,4,,,4,physical,0,False,0,0,0,,75,350,150,73,55,125,4
174,阿高司,special,93,1,,93,light,150,False,0,0,0,4,75,350,150,73,55,125,4
175,炎顱,basic,4,,,4,physical,0,False,0,0,0,,45,180,133,65,43,56,6
175,炎顱,special,45,1,,45,fire,110,False,0,0,0,4,45,180,133,65,43,56,6
177,火蠑螈,basic,136,,,136,physical,0,False,0,0,0,,32,170,140,74,45,70,
177,火蠑螈,special,125,1,,125,poison,150,False,0,0,0,3,32,170,140,74,45,70,
178,神龍,basic,406,,,406,light,0,False,0,0,0,,320,3800,580,140,62,160,5
178,神龍,special,429,1,,429,light,800,True,0,0,0,8,320,3800,580,140,62,160,5
178,神龍,special,296,2,,296,auxiliary,0,False,0,0,0,4,320,3800,580,140,62,160,5
179,鳳凰,basic,400,,,400,fire,0,False,0,0,0,,350,3500,600,160,60,120,6
179,鳳凰,skill,1706,1,千烈凰屏,401,fire,700,True,0,0,0,6,350,3500,600,160,60,120,6
179,鳳凰,skill,1706,2,千烈凰屏,401,fire,700,True,0,0,0,6,350,3500,600,160,60,120,6
181,庫塔,basic,119,,,119,physical,0,False,0,0,0,,75,380,215,95,43,160,2
181,庫塔,skill,1678,1,風靈之手,124,wind,80,True,0,0,0,1,75,380,215,95,43,160,2
181,庫塔,skill,1678,2,風靈之手,124,wind,80,True,0,0,0,1,75,380,215,95,43,160,2
181,庫塔,skill,1678,3,風靈之手,124,wind,80,True,0,0,0,1,75,380,215,95,43,160,2
181,庫塔,heal,1518,1,浸沐春風,85,wind,0,False,60,0,0,1,75,380,215,95,43,160,2
181,庫塔,heal,1518,2,浸沐春風,85,wind,0,False,60,0,0,1,75,380,215,95,43,160,2
184,食屍鬼,basic,313,,,313,dark,0,False,0,0,0,,120,500,344,103,56,80,3
184,食屍鬼,special,316,1,,316,physical,222,False,0,0,0,4,120,500,344,103,56,80,3
184,食屍鬼,special,316,2,,316,physical,222,False,0,0,0,3,120,500,344,103,56,80,3
185,山鬼,basic,3,,,3,physical,0,False,0,0,0,,70,250,280,120,46,80,3
185,山鬼,special,252,1,,252,physical,350,False,0,0,0,5,70,250,280,120,46,80,3
186,黑無常,basic,410,,,410,dark,0,False,0,0,0,,240,2700,500,130,60,120,8
186,黑無常,skill,1708,1,無常沙石,411,earth,500,True,0,0,0,5,240,2700,500,130,60,120,8
186,黑無常,skill,0,2,,0,physical,0,False,0,0,0,0,240,2700,500,130,60,120,8
186,黑無常,skill,1708,3,無常沙石,411,earth,500,True,0,0,0,5,240,2700,500,130,60,120,8
189,食人花,basic,117,,,117,poison,0,False,0,0,0,,28,140,125,88,43,20,3
191,樂仙女,basic,349,,,349,light,0,False,0,0,0,,200,1160,430,112,63,130,5
191,樂仙女,skill,1546,1,仙音淨化,281,light,200,True,0,0,0,5,200,1160,430,112,63,130,5
191,樂仙女,skill,1546,2,仙音淨化,281,light,200,True,0,0,0,3,200,1160,430,112,63,130,5
191,樂仙女,skill,1546,3,仙音淨化,281,light,200,True,0,0,0,2,200,1160,430,112,63,130,5
191,樂仙女,heal,1577,1,喚魂咒,140,none,0,False,800,0,0,2,200,1160,430,112,63,130,5
194,白無常,basic,322,,,322,physical,0,False,0,0,0,,250,2300,530,136,64,150,9
194,白無常,skill,1691,1,無常陰風,324,wind,800,False,0,0,0,4,250,2300,530,136,64,150,9
194,白無常,skill,1691,2,無常陰風,324,wind,800,False,0,0,0,2,250,2300,530,136,64,150,9
194,白無常,special,323,1,,323,dark,300,False,0,0,0,4,250,2300,530,136,64,150,9
197,耆戈,basic,122,,,122,physical,0,False,0,0,0,,88,320,205,100,48,120,4
197,耆戈,special,192,1,,192,thunder,100,True,0,0,0,3,88,320,205,100,48,120,4
197,耆戈,special,192,2,,192,thunder,100,True,0,0,0,2,88,320,205,100,48,120,4
198,太白金星,basic,402,,,402,thunder,0,False,0,0,0,,300,2500,560,145,68,180,5
198,太白金星,skill,1707,1,道臨天下,403,light,800,True,0,0,0,4,300,2500,560,145,68,180,5
198,太白金星,skill,0,2,,0,physical,0,False,0,0,0,0,300,2500,560,145,68,180,5
198,太白金星,skill,1707,3,道臨天下,403,light,800,True,0,0,0,6,300,2500,560,145,68,180,5
198,太白金星,heal,1578,1,神癒咒,14,none,0,False,500,0,0,3,300,2500,560,145,68,180,5
198,太白金星,heal,1578,2,神癒咒,14,none,0,False,500,0,0,1,300,2500,560,145,68,180,5
199,天將,basic,404,,,404,physical,0,False,0,0,0,,270,2800,570,135,60,100,5
199,天將,special,405,1,,405,light,1000,False,0,0,0,5,270,2800,570,135,60,100,5
199,天將,special,405,2,,405,light,1000,False,0,0,0,3,270,2800,570,135,60,100,5
206,惡靈,basic,1,,,1,physical,0,False,0,0,0,,15,40,56,30,38,24,2
208,水鬼,basic,1,,,1,physical,0,False,0,0,0,,14,53,53,34,32,30,2
213,龍王,basic,406,,,406,light,0,False,0,0,0,,310,3200,580,160,68,160,5
213,龍王,special,408,1,,408,fire,650,True,0,0,0,12,310,3200,580,160,68,160,5
213,龍王,special,296,2,,296,auxiliary,0,False,0,0,0,3,310,3200,580,160,68,160,5
214,黑龍,basic,406,,,406,light,0,False,0,0,0,,290,2800,550,150,64,140,4
214,黑龍,special,407,1,,407,ice,600,True,0,0,0,8,290,2800,550,150,64,140,4
214,黑龍,special,296,2,,296,auxiliary,0,False,0,0,0,3,290,2800,550,150,64,140,4
221,枯屍鬼,basic,4,,,4,physical,0,False,0,0,0,,40,300,127,50,35,60,4
222,枯屍鬼王,basic,135,,,135,physical,0,False,0,0,0,,48,400,136,55,37,89,5
223,石獅精,basic,133,,,133,physical,0,False,0,0,0,,260,1800,530,160,58,100,2
223,石獅精,skill,1709,1,獅子吼,409,physical,500,False,0,0,0,4,260,1800,530,160,58,100,2
223,石獅精,skill,1709,2,獅子吼,409,physical,500,False,0,0,0,3,260,1800,530,160,58,100,2
226,獨角獸,basic,1,,,1,physical,0,False,0,0,0,,175,1000,500,100,63,120,4
226,獨角獸,special,430,1,,430,thunder,600,False,0,0,0,6,175,1000,500,100,63,120,4
226,獨角獸,special,430,2,,430,thunder,600,False,0,0,0,2,175,1000,500,100,63,120,4
238,尼梅亞獅,basic,322,,,322,physical,0,False,0,0,0,,160,1500,530,166,58,100,6
238,尼梅亞獅,skill,1709,1,獅子吼,409,physical,500,False,0,0,0,3,160,1500,530,166,58,100,6
238,尼梅亞獅,skill,1709,2,獅子吼,409,physical,500,False,0,0,0,3,160,1500,530,166,58,100,6
253,雪芙,basic,345,,,345,physical,0,False,0,0,0,,180,1000,500,125,60,180,3
253,雪芙,skill,1695,1,仙靈冰封,344,ice,400,True,0,0,0,4,180,1000,500,125,60,180,3
253,雪芙,skill,0,2,,0,physical,0,False,0,0,0,0,180,1000,500,125,60,180,3
253,雪芙,skill,1695,3,仙靈冰封,344,ice,400,True,0,0,0,2,180,1000,500,125,60,180,3
254,肯塔羅斯,basic,40,,,40,physical,0,False,0,0,0,,140,1200,480,122,52,120,4
254,肯塔羅斯,skill,1513,1,冰石亂墜,183,ice,100,True,0,0,0,3,140,1200,480,122,52,120,4
254,肯塔羅斯,skill,1513,2,冰石亂墜,183,ice,100,True,0,0,0,3,140,1200,480,122,52,120,4
255,尼凱,basic,40,,,40,physical,0,False,0,0,0,,360,2600,600,180,64,180,6
255,尼凱,skill,1715,1,聖光浴,432,light,1000,False,0,0,0,3,360,2600,600,180,64,180,6
255,尼凱,skill,1715,2,聖光浴,432,light,1000,False,0,0,0,3,360,2600,600,180,64,180,6
255,尼凱,special,431,1,,431,light,1400,False,0,0,0,5,360,2600,600,180,64,180,6
267,冥府獄卒,basic,3,,,3,physical,0,False,0,0,0,,150,700,390,106,54,120,4
267,冥府獄卒,special,321,1,,321,physical,480,False,0,0,0,5,150,700,390,106,54,120,4
267,冥府獄卒,special,320,2,,320,auxiliary,0,False,0,0,0,4,150,700,390,106,54,120,4
269,冤魂,basic,314,,,314,dark,0,False,0,0,0,,130,460,340,95,58,90,3
269,冤魂,special,315,1,,315,auxiliary,0,False,0,0,0,3,130,460,340,95,58,90,3
269,冤魂,special,315,2,,315,auxiliary,0,False,0,0,0,3,130,460,340,95,58,90,3
271,吊死鬼,basic,313,,,313,dark,0,False,0,0,0,,138,580,355,100,54,80,3
271,吊死鬼,special,317,1,,317,auxiliary,0,False,0,0,0,4,138,580,355,100,54,80,3
271,吊死鬼,special,317,2,,317,auxiliary,0,False,0,0,0,4,138,580,355,100,54,80,3
272,餓死鬼,basic,295,,,295,dark,0,False,0,0,0,,130,400,330,88,49,100,3
272,餓死鬼,special,296,1,,296,auxiliary,0,False,0,0,0,3,130,400,330,88,49,100,3
272,餓死鬼,special,296,2,,296,auxiliary,0,False,0,0,0,3,130,400,330,88,49,100,3
273,瘟鬼,basic,314,,,314,dark,0,False,0,0,0,,168,620,378,96,56,80,3
273,瘟鬼,special,319,1,,319,poison,150,False,0,0,0,3,168,620,378,96,56,80,3
273,瘟鬼,special,318,2,,318,auxiliary,0,False,0,0,0,5,168,620,378,96,56,80,3
274,夜叉,basic,258,,,258,physical,0,False,0,0,0,,100,400,350,93,44,60,3
274,夜叉,special,259,1,,259,physical,250,False,0,0,0,5,100,400,350,93,44,60,3
277,雪女,basic,122,,,122,physical,0,False,0,0,0,,188,1500,446,105,63,130,3
277,雪女,skill,1702,1,三日結寒,384,ice,300,True,0,0,0,4,188,1500,446,105,63,130,3
277,雪女,skill,1702,2,三日結寒,384,ice,300,True,0,0,0,3,188,1500,446,105,63,130,3
281,天宮仙女,basic,358,,,358,ice,0,False,0,0,0,,190,1350,458,120,66,100,5
281,天宮仙女,skill,1703,1,流雲幻光,385,light,380,False,0,0,0,3,190,1350,458,120,66,100,5
281,天宮仙女,skill,1703,2,流雲幻光,385,light,380,False,0,0,0,3,190,1350,458,120,66,100,5
316,妖燈鬼,basic,350,,,350,fire,0,False,0,0,0,,190,1080,460,96,60,150,2
316,妖燈鬼,special,351,1,,351,dark,250,True,0,0,0,8,190,1080,460,96,60,150,2
316,妖燈鬼,special,296,2,,296,auxiliary,0,False,0,0,0,3,190,1080,460,96,60,150,2
317,迷魂霧妖,basic,41,,,41,physical,0,False,0,0,0,,193,80,460,10,68,120,2
317,迷魂霧妖,special,342,1,,342,wind,400,True,0,0,0,4,193,80,460,10,68,120,2
317,迷魂霧妖,special,342,2,,342,wind,400,True,0,0,0,6,193,80,460,10,68,120,2
368,鬥戰聖佛,basic,122,,,122,physical,0,False,0,0,0,,380,3000,630,160,66,170,9
368,鬥戰聖佛,skill,1705,1,神焰九轉,389,fire,600,True,0,0,0,8,380,3000,630,160,66,170,9
368,鬥戰聖佛,skill,1705,2,神焰九轉,389,fire,600,True,0,0,0,8,380,3000,630,160,66,170,9
377,死靈騎士,basic,0,,,0,physical,0,False,0,0,0,,205,3000,530,160,62,120,8
377,死靈騎士,special,378,1,,378,dark,500,False,0,0,0,3,205,3000,530,160,62,120,8
377,死靈騎士,special,378,2,,378,dark,500,False,0,0,0,5,205,3000,530,160,62,120,8
390,鬼爵,basic,153,,,153,physical,0,False,0,0,0,,64,220,160,79,40,80,5
390,鬼爵,special,154,1,,154,physical,200,False,0,0,0,4,64,220,160,79,40,80,5
391,魚身人面妖,basic,137,,,137,physical,0,False,0,0,0,,53,180,150,89,45,90,2
392,閻惡靈,basic,133,,,133,physical,0,False,0,0,0,,58,160,164,60,38,80,3
401,戰馬,basic,0,,,0,physical,0,False,0,0,0,,,0,0,0,0,0,
