CDK_TITLE 蔡魔王挑戰
CDK_RECEIPT_TITLE 挑戰獎勵
CDK_RECEIPT_ITEM 已獲得「蔡魔王・真契靈」×1
CDK_RECEIPT_BACK 返回物品欄
CDK_BACK 返回
CDK_START 開始挑戰
CDK_INFO 等級99・生命80000
CDK_DETAIL 前段每三次一般出招後接重劍、普攻；六成以下循環重劍、六芒星、普攻、光劍。回血仍僅一次12000。
CDK_LIMITS 查看比試規格
CDK_LIMIT_DETAIL_ONE 主角入場上限：最大生命30000，最大靈力／體力各10000。
CDK_LIMIT_DETAIL_TWO 攻擊／防禦各5000、智慧3000、速度500、等級99；召喚護駕不計。
CDK_PHYSICAL_NAME 去蕪存菁
CDK_PHYSICAL_HELP 揮劍直取要害，造成單體物理傷害。
CDK_ERROR 開戰失敗，請查看 Console。
CDK_CONFLICT 蔡魔王資料遭其他 MOD 改動，請檢查相容性後重啟。
CDK_ENEMY_NAME 蔡魔王
CDK_ENEMY_HELP 蔡魔王・等級99終局挑戰。
CDK_HINT_ONE 神光寶塔、暗黑魔樽……好東西是要花心思的。練出了火候，才看得出當中的講究。
CDK_HINT_TWO 鳳凰、尼凱，也都是老相識了。若能隨身相伴，遠行時總能安心些。
CDK_OPEN_ONE 這麼多年了，你們還認得這裡。來，站近些，讓我看看。
CDK_OPEN_TWO 當年做《阿貓阿狗》，試玩版才出去幾天，就來了五百多封信。那時才知道，真的有人在等。
CDK_PHASE_TWO 以前總覺得，這一筆、這一段，還能再好一點。被叫作魔王，大概也不冤。
CDK_WIN_ONE 以前總想著，這次還能多做好一點。如今看你們願意回來，才覺得那些心思有了回音。
CDK_WIN_REWARD 好，我跟你們走。那些熟悉的地方，我也想再看一看。
CDK_WIN_OWNED 我已經跟著你們了，哪還用再留一份簽名。走吧，再看看大家留下的風景。
CDK_REWARD_NAME 蔡魔王・真契靈
CDK_REWARD_HELP 挑戰勝利獎勵。可裝備護駕，或花費體力280召喚。生命+1000、靈力及體力+350、力量及智慧+80、耐力+60、速度+35、攻防+120。
CDK_SUMMON_INFO 兩位同行的朋友，也請出來見見吧。這一路，有伴總是好些。
CDK_REPEAT_ONE 當年我和郭公，一個寫程式專欄，一個畫漫畫，後來就一起做起遊戲。誰也沒想到會走這麼遠。
CDK_REPEAT_TWO 阿福那些妖怪，原先是一張張宣紙上的墨線。掃進電腦添了顏色，竟陪你們走了這麼多年。
CDK_REPEAT_THREE 國成以前帶同事出去玩，連門框、青苔都要拍。說是出去玩，心裡還惦著要做的場景。
CDK_REPEAT_FOUR 弘修後來又把老遊戲搬到手機上。機器換了，還有人願意替老故事留一扇門，真好。
CDK_EQUIPPED_OPEN 以前把名字留在簽名板上，如今倒是跟著你們走了。這樣也好，路上有個照應。
CDK_NOST_OPEN_ONE 毛獸和志豪，當年用電腦一段段寫曲子。毛獸後來說，換成真人演奏，連自己都聽得感動。
CDK_NOST_OPEN_TWO 這些年，大家各有各的路。如今還能和幾位老夥伴一起做新故事，我很珍惜。
CDK_NOST_PHASE 毛獸既寫曲子，又寫故事。多年後再聽，那些人物便跟著回來了。有些心情，還真只有音樂說得清。
CDK_NOST_WIN_ONE 以前你們寫信來，談喜歡的人物，也說哪裡不好。我嘴上不一定會說，那些話，其實很在意。
CDK_NOST_REWARD 故事做完，總要送你們離開。這回讓我也跟上吧，路上還有些往事能聊。
CDK_NOST_OWNED 這些地方你都熟了，還願意陪我多走一趟。好，今天就慢慢看。
CDK_HEAL_ONE 國成說，他學畫時，一坐就坐到畫室關燈。做喜歡的事，時間真會這樣過去。
CDK_HEAL_TWO 郭公畫圖，也得替大家居中商量。以前催著事情往前走，回頭才更明白，他兩頭都不輕鬆。
CDK_HINT_LIGHT 神光寶塔那點光，不算張揚。我倒一直喜歡這種，看著安靜、卻能護住人的東西。
CDK_HINT_DARK 暗黑魔樽也是。名字聽著兇，卻有護人的本事。名字有時候，也作不得準。
CDK_HINT_PHOENIX 鳳凰護身，氣息總能厚實些。遠行時能安穩一些，就有餘裕看看沿途的景色。
CDK_HINT_NIKE 尼凱的長處，不在拳頭。看那輕巧的步子，我總想起當年趕路找人的你們。
CDK_HINT_ARMOR 以前審圖，連衣甲的一道接縫，我也常要看上半天。這種老毛病，到現在也改不了。
CDK_HINT_GUARD 護身的幫手，各有各的長處。那時候，大家也是各守一處，才把這一路做了出來。
CDK_WIN_REPEAT 能再見到你們，我很高興。這話我平常不大說……不過，還是想讓你們知道。
CDK_OWNED_REPEAT 以前總催著把事情做完。這回倒不急，你們想多留一會兒，也好。
CDK_FAIR_STATS 本事我看見了。不過這場比試有約定的界線，超過了，就得另當別論。
CDK_FAIR_ITEMS 數目對不上，我就不能當作沒看見。既然是我邀你們來，規矩也得由我守好。
CDK_FAIR_RULES 這場的規矩出了岔子。先停下來，讓我把問題弄清楚，再談輸贏。
CDK_FAIR_VALUES 這數目有些蹊蹺。小地方也不能將就，得查明白。
CDK_FAIR_END 這場不計勝負，也不發獎。事情妥當了，隨時再來。
